timestamp,speaker,text
00:00:44,Irving,"All right, Radar. Okay, come on. Let’s go."
00:05:25,Mark,"Going good?
Helly: Yep."
00:05:26,Mark,Yeah?
00:05:29,Mark,"Think you’ll have it by…
Helly: I’ll get there."
00:05:54,Dylan,"She’s not gonna make it, is she?
Mark: You should be at your desks."
00:05:57,Dylan,We’ve both been done a week. What is there to do?
00:05:59,Dylan,"Is she gonna make it?
Mark: She’s gonna make it."
00:06:01,Irving,Mark.
00:06:02,Mark,Yes?
00:06:03,Irving,"Don’t laugh.
Mark: At?"
00:06:06,Irving,I just wonder if it might be helpful for us to stand behind her and perhaps chant her name.
00:06:15,Mark,Okay. She’ll make it. Just let her focus.
00:06:28,Cobel,How’s she doing?
00:06:30,Milchick,Gonna be down to the wire.
00:06:38,Cobel,She’ll make it.
00:06:40,Cobel,Let’s prep for when she makes it.
00:06:48,Cobel,Oh. And I want to schedule a end-of-the quarter wellness session for Mark…one last time.
00:06:57,Milchick,Really?
00:07:04,Cobel,"Seth. I know that this has been a trying quarter, and you have availed yourself well. Mr. Graner sits with Kier now, and I imagine they’re both very satisfied with you."
00:07:52,Helly,Hey.
00:07:55,Mark,Did you…
00:07:57,Helly,I think I did.
00:08:13,Dylan,"She do it?
Mark: She did it!"
00:08:17,Dylan,Fuck and yes.
00:08:19,Irving,"Oh, my goodness."
00:08:41,Kier Eagan,"I knew you could do it, Helly R. Even in your darkest moments, I could see you arriving here. In refining your macrodata file, you have brought glory to this company and to me. Kier Eagan. I… I love you. But now I must away, for there are others who need me around the world. Goodbye, Helly R., and thank you."
00:09:26,Dylan,Boom! That’s quota. We did it.
00:09:30,Mark,Good work.
00:09:36,Irving,So it’s on now?
00:09:53,Cobel,"Oh, Mark. I don’t know how you knew for the end of the quarter I wanted a heart attack."
00:10:02,Mark,"Well, we made it, despite a staffing shake-up."
00:10:05,Cobel,"Yes, and spending half of your time farting around the halls. Still, yes. You made it. Have you decided who you want to stay for the Waffle Party?"
00:10:16,Mark,I was thinking Dylan.
00:10:21,Cobel,You know you can choose yourself or anyone but Dylan.
00:10:25,Mark,"Yeah, but it’s more his thing, and he really worked hard."
00:10:37,Cobel,"Well, I’ll make the arrangements."
00:10:39,Mark,"Great.
Cobel: But before you celebrate, I’d like you to drop by Wellness."
00:10:43,Mark,Really?
00:10:44,Cobel,"Yes. I’m having all department heads do it end-of-quarter. With all this stress, and Mr. Graner retiring and everything."
00:10:54,Mark,Of course.
00:11:01,Cobel,"Mark, all sarcasm aside…"
00:11:04,Mark,Yeah.
00:11:07,Cobel,Thank you.
00:11:10,Cobel,I…Lumon needed this.
00:11:26,Ms. Casey,Mark.
00:11:29,Mark,Ms. Casey.
00:11:38,Mark,Where’d the tree go?
00:11:43,Ms. Casey,You can have a seat.
00:11:49,Mark,Why’s everything in boxes?
00:11:53,Ms. Casey,"Evidently Lumon’s been blessed with a new wellness director. So I’ll be retiring at the conclusion of this session, and the room is…"
00:12:01,Mark,What? Wait. When did they tell you?
00:12:07,Ms. Casey,Just now. Just a moment ago.
00:12:30,Ms. Casey,"Mark S., you have successfully led your department, Macrodata Refinement, to meet their quarterly quota, and are thus eligible for this special, augmented wellness session."
00:12:44,Mark,I didn’t think you’d get fired.
00:12:49,Ms. Casey,"“Your Outie is kind. Your Outie has brightened people’s days by merely smiling. Your Outie makes time for people, even when…"
00:13:02,Mark,"Hey, let me talk to somebody."
00:13:16,Ms. Casey,I really liked being in the office with you all that day.
00:13:22,Ms. Casey,I know I vexed you. I know I’m… strange.
00:13:27,Mark,"No, you’re not strange."
00:13:31,Ms. Casey,My life has been 107 hours long. Most of that has been these half-hour sessions.
00:13:39,Ms. Casey,"For me, my favorite time was the eight hours I spent in your department watching Helly. It’s the longest I’ve ever been awake. I suppose it’s what you could call my good old days."
00:14:04,Mark,There must be something we can do.
00:14:16,Ms. Casey,Why do you care what happens to me?
00:14:31,Mark,"Because we’re people, not parts of people."
00:14:36,Mark,"Even with what little they gave us, these are our lives."
00:14:40,Mark,No one gets to just turn you off.
00:14:48,Ms. Casey,"You’re nice, Mark."
00:15:07,Ms. Casey,“Your Outie is kind. Your Outie can set up a tent in under three minutes. Your Outie knows a beautiful rock from a plain one. Your Outie likes giving…
00:15:27,Milchick,"You know it’s good, right? That they don’t remember each other?"
00:15:34,Milchick,It means the chips work. It’s a win.
00:15:43,Cobel,"Take her back down to the testing floor, please."
00:16:45,Ms. Casey,Do you know if I’m happy up there?
00:16:50,Milchick,Of course. You do all sorts of wonderful things.
00:17:12,Ms. Casey,"Could I just…
Milchick: I’m sorry."
00:17:15,Milchick,I just have so much to do today.
00:17:17,Milchick,On you go.
00:17:58,Helly,"Mark.
Irving: Where were you?"
00:18:00,Mark,They gave me a wellness check.
00:18:03,Mark,Okay. You’re all set for the waffle party.
00:18:06,Dylan,"How’s Ms. Casey? I mean, I’m over her, but I still wanna be friends."
00:18:12,Mark,"They fired her.
Dylan: What?"
00:18:14,Mark,Yeah. She just found out.
00:18:15,Helly,"Well, can we help her? Is there anything we can do?"
00:18:18,Mark,I don’t know.
00:18:22,Mark,Is everyone sure they wanna do this?
00:18:25,Milchick,Any Macrodats ready to party?
00:18:28,Mark,Yeah.
00:18:33,Milchick,"Dylan G.’s waffle party will commence at close of day. In the meantime, I’ve ordered the pre-Waffle Party egg bar social for everyone."
00:18:42,Dylan,Yes! Pay dirt! Yeah!
00:18:45,Milchick,All of you deserve this for reaching quota.
00:18:49,Milchick,But before we begin…a very special gift for a very special Dylan.
00:18:58,Milchick,Our three-time R of the Q! A man whose mind is as sharp as his incisors.
00:19:05,Milchick,"Right, bud?"
00:19:14,Helly,Open it.
