,timestamp,speaker,text,talking_to
0,00:02:16,Judd,"Good morning, Mr. Scout.",Mark
1,00:02:44,Mark,"One, two, three, four, five,",Judd
2,00:02:48,Mark,"six, seven, eight, nine, ten, 11, 12.",Judd
3,00:02:56,Mark,"Thirty-two, 33, 34,",Judd
4,00:02:59,Mark,"35, 36, thirty-se–",Judd
5,00:04:31,Mark,"Okay, me and Helly will find the goat man and other possible goat people.",Judd
6,00:04:37,Mark,"Dylan, hit the new break room.",Judd
7,00:04:39,Mark,Maybe some of the other departments use it too.,Judd
8,00:04:42,Dylan,Yeah. Maybe later.,Mark
9,00:04:45,Mark,"Okay. This is kind of important, Dylan.",Dylan
10,00:04:48,Dylan,"Yeah. I'm in a good groove here, but don't worry about it. I'll get to it.",Mark
11,00:04:51,Mark,"Okay. Well, just show them the sketch. Do not leave it behind.",Dylan
12,00:04:59,Irving,O&D.,Mark
13,00:05:01,Mark,"Yes, Irv. You can do this.",Irving
14,00:05:06,Irving,I know.,Mark
15,00:05:07,Helly,You guys really think they're gonna let us roam around?,Mark
16,00:05:09,Mark,They said on the video we can go wherever we want.,Helly
17,00:05:13,Mark,"Lumon is listening, remember?",Helly
18,00:05:15,Dylan,I thought that meant they were listening to our conversations.,Irving
19,00:05:17,Irving,"Yeah, he's right, Mark. I did get the hint of a double meaning.",Dylan
20,00:05:21,Mark,"Well, be discreet.",Helly
21,00:05:23,Mark,"If they don't know we're doing it, how can they punish us?",Helly
22,00:05:28,Helly,"Hey, you haven't been back there, have you?",Mark
23,00:05:32,Irving,"No, no.",Helly
24,00:05:39,Helly,We've got you.,Irving
25,00:05:43,Irving,"Thank you, Helly.",Helly
26,00:05:54,Helly,"So, say we find her…",Irving
27,00:05:57,Mark,Sorry?,Helly
28,00:05:58,Helly,"Say we get to the goat department and they're like,",Mark
29,00:06:01,Helly,"“Yes, Ms. Casey's here. She's in this goat cage.”",Mark
30,00:06:05,Helly,What do we do then?,Mark
31,00:06:06,Mark,"Well, we get her to the south stairwell… I'll go with her…",Helly
32,00:06:09,Mark,"and once we're out the door, my outie'll know what to do.",Helly
33,00:06:13,Helly,"Right. Okay. Well, sounds like you've got it figured out.",Mark
34,00:06:21,Mark,Are you sure you're okay helping me out with this?,Helly
35,00:06:26,Helly,"Yeah, of course.",Mark
36,00:06:30,Mark,"Okay, good.",Helly
37,00:06:50,Mark,Yeah.,Helly
38,00:07:05,Mark,I… I…,Helly
39,00:07:52,Irving,Dylan.,Dylan
40,00:07:54,Dylan,I thought you were going to O&D.,Irving
41,00:07:58,Irving,Dylan.,Dylan
42,00:08:00,Irving,I've recreated the paintings.,Dylan
43,00:08:03,Irving,The ones I told you about. The ones my outie was working on.,Dylan
44,00:08:07,Dylan,What?,Irving
45,00:08:08,Irving,"You see, I've been thinking.",Dylan
46,00:08:11,Irving,Maybe the hallway is really down here.,Dylan
47,00:08:14,Irving,Maybe that's what my dreams have been.,Dylan
48,00:08:19,Irving,"We could look for it, Dylan.",Dylan
49,00:08:22,Irving,We could go today.,Dylan
50,00:08:24,Irving,You could accompany me.,Dylan
51,00:08:28,Dylan,Yeah.,Irving
52,00:08:32,Dylan,"Yeah, maybe.",Irving
53,00:08:33,Dylan,"Or maybe you go yourself, like, for stealth, you know?",Irving
54,00:08:39,Irving,"Stealth?
Dylan: Yeah.",Dylan
55,00:08:42,Dylan,"Look, I can't really explain. I just–",Irving
56,00:08:47,Irving,Miss Huang.,Dylan
57,00:08:56,Irving,Hall pass.,Dylan
58,00:09:05,Irving,Everything chill?,Dylan
59,00:09:10,Miss Huang,"Dylan G., come with me, please.",Natalie
60,00:09:18,Natalie,"Good morning, Seth.",Miss Huang
61,00:09:20,Milchick,Natalie.,Natalie
62,00:09:24,Natalie,Looks like your balloons could use some coffee.,Milchick
63,00:09:29,Milchick,"They were in the–
Natalie: I've got the Board.",Natalie
64,00:09:32,Milchick,Of course.,Natalie
65,00:09:38,Milchick,Hello.,Natalie
66,00:09:41,Natalie,"The Board says, “Hello.”",Milchick
67,00:09:48,Milchick,Hello. I want to thank the Board humbly for my recent betterment.,Natalie
68,00:09:58,Natalie,"The Board says, “You're welcome.”",Milchick
69,00:10:03,Natalie,The Board is jubilant at your ascendance.,Milchick
70,00:10:06,Natalie,It wants you to feel appreciated and asks if you do.,Milchick
71,00:10:11,Milchick,I do.,Natalie
72,00:10:17,Natalie,The Board austerely desires for you to feel connected to Lumon's history.,Milchick
73,00:10:23,Natalie,"To that end,",Milchick
74,00:10:26,Natalie,please accept from the Board these inclusively recanonicalized paintings,Milchick
75,00:10:32,Natalie,"intended to help you see yourself in Kier, our founder.",Milchick
76,00:11:07,Milchick,"Oh, my.",Natalie
77,00:11:08,Natalie,You'll find the whole Kier cycle.,Milchick
78,00:11:31,Natalie,"The Board wishes to express that I, Natalie,",Milchick
79,00:11:33,Natalie,received the same gift upon receipt of my current position,Milchick
80,00:11:37,Natalie,and found it extremely moving.,Milchick
81,00:11:41,Milchick,I'm grateful.,Natalie
82,00:11:42,Natalie,Yes.,Milchick
83,00:11:43,Milchick,It's meaningful to see myself reflected in…,Natalie
84,00:11:58,Natalie,The Board has concluded the call.,Milchick
85,00:12:16,Natalie,"Congratulations, Seth.",Milchick
86,00:13:52,Helly,Is that it?,Mark
87,00:13:54,Mark,Think so.,Helly
88,00:14:31,Helly,"Oh, you're gonna–",Mark
89,00:14:36,Helly,You sure?,Mark
90,00:14:41,Helly,Okay.,Mark
91,00:14:47,Helly,"All right. Okay, we're doing this.",Mark
92,00:14:54,Helly,Can you see anything?,Mark
93,00:14:56,Mark,"No. Careful, there's poop.",Helly
94,00:14:59,Helly,Okay.,Mark
95,00:15:04,Helly,Okay.,Mark
96,00:15:28,Mark,"Oh, my God.",Helly
97,00:15:30,Helly,What the hell?,Mark
98,00:16:08,Lorne,Are you here to kill me?,Mark
99,00:16:13,Mark,"No, no, no, no, no, no. I… Sorry. Hi, I'm Mark.",Lorne
100,00:16:18,Helly,"I'm Helly.
Mark: And we're with Macrodata Refinement.",Mark
101,00:16:30,Mark,What is this place?,Helly
102,00:16:34,Lorne,Mammalians Nurturable.,Mark
103,00:16:44,Mark,"Please, we mean you no harm. We just wanna talk.",Lorne
104,00:16:48,Mark,Please.,Lorne
105,00:17:51,Felicia,Irving.,Irving
106,00:17:54,Irving,"Felicia, hello.",Felicia
107,00:17:56,Irving,I'm sorry to pop in after all this time.,Felicia
108,00:17:59,Irving,I'm sure you must be very busy.,Felicia
