,timestamp,speaker,text,talking_to
0,00:00:10,Mark S,Devon!,Helly
1,00:00:12,Helly,"No, no, no. Listen, we're not happy. We're miserable.",Mark S
2,00:00:16,Irving,Burt!,Helly
3,00:00:18,Helly,They torture us down there!,Irving
4,00:00:19,Mark S,Devon!,Helly
5,00:00:21,Helly,We're prisoners!,Mark S
6,00:00:21,Irving,Burt!,Mark S
7,00:00:22,Mark S,She's alive!,Irving
8,00:03:39,Mark W,I suppose you're Mark S.,Mark S
9,00:03:42,Mark S,I–,Mark W
10,00:03:42,Mark W,I'm Mark W.,Mark S
11,00:03:51,Dario R,Perché sta in piedi modo strano?,Mark S
12,00:03:48,Mark S,Who are you people?,Dario R
13,00:03:53,Mark W,Would you be open to using a different first name to avoid confusion?,Milchick
14,00:03:58,Milchick,"Welcome back, Mark S. Been a minute.",Mark W
15,00:04:14,Mark S,Where are they?,Milchick
16,00:04:15,Milchick,I think it's best to save any queries till we arrive at the management office.,Mark S
17,00:04:19,Mark S,Were they fired?,Milchick
18,00:04:21,Milchick,"You can leave the balloons in the foyer by my old desk. We've much to discuss, and I don't want them distracting you. I assure you, they won't be taken.",Mark S
19,00:04:29,Mark S,"Mr. Milchick, please.",Milchick
20,00:04:30,Milchick,What you all did five months ago was one of the most painful moments in the history of this company.,Mark S
21,00:04:34,Mark S,Five months?,Milchick
22,00:04:35,Milchick,"I, too, was wounded by it. But we must be cut to heal, mustn't we?",Mark S
23,00:04:42,Mark S,"Wait, did you say your old office?",Milchick
24,00:04:44,Milchick,"Mark, this is Miss Huang. Miss Huang, Mark S.",Mark S
25,00:04:47,Miss Huang,Hello.,Milchick
26,00:04:49,Milchick,"She'll be happy to mind your balloons while we chat. Right this way, Mark. You can shut it.",Miss Huang
27,00:05:04,Mark S,Is it normal for a child to–,Milchick
28,00:05:06,Milchick,Excuse the clutter.,Mark S
29,00:05:14,Mark S,Okay. What's happening?,Milchick
30,00:05:17,Milchick,Ms. Cobel is no longer with this company. I now manage the severed floor.,Mark S
31,00:05:23,Mark S,What about my team?,Milchick
32,00:05:26,Milchick,"We didn't fire them. Helly R. and Irving B. both successfully made contact with persons on the outside, just as you did. Dylan G.'s outie learned what happened after the fact. The four of you have achieved international fame. As a group, you've become known as the face of severance reform.",Mark S
33,00:05:47,Mark S,Severance ref–,Milchick
34,00:05:47,Milchick,"Have a seat, Mark. Shortly before your mutiny, we installed security doors to keep you in MDR. This accompanied a punitive rendition of the Kier hymn performed by Ms. Cobel. Do you recall?",Mark S
35,00:06:03,Mark S,I do.,Milchick
36,00:06:10,Milchick,"I locked you in a room like an animal, Mark. As an unsevered man, I'll carry that knowledge the rest of my life. But for the past five months, we've been asking how a sadist like Harmony Cobel could take fertile root in Lumon soil. And what that says about us. We also know Ms. Cobel was at your sister's home when you awoke there.",Mark S
37,00:06:36,Mark S,Yeah. Why was that?,Milchick
38,00:06:40,Milchick,We believe she'd developed an erotic fixation on you and had plans to pursue both you and your outie in what might be termed “a throuple.”,Mark S
39,00:06:50,Mark S,What?,Milchick
40,00:06:51,Milchick,"Thankfully, she failed at this.",Mark S
41,00:06:56,Mark S,You still haven't told me where my team is.,Milchick
42,00:07:02,Milchick,"We tried for weeks to get them back, Mark. None of them agreed. We told them of the reforms, but it wasn't enough.",Mark S
43,00:07:15,Mark S,Except for me?,Milchick
44,00:07:20,Milchick,"Your outie insisted on returning. In fact, he begged us to let him back right away.",Mark S
45,00:07:28,Mark S,"So the others, they refused?",Milchick
46,00:07:33,Milchick,Yes.,Mark S
47,00:07:37,Mark S,"Well, I'd like to hear it from them.",Milchick
48,00:07:46,Milchick,That's not possible. Enjoy your balloons.,Mark S
49,00:08:19,Mark W,"Yeah. We showed up about an hour before you did. It's a little cramped compared to our old MDR, but I love the green carpet. Ours was a crème brûlée and the keyboards were puce.",Gwendolyn Y
50,00:08:30,Gwendolyn Y,They were purple.,Mark W
51,00:08:31,Mark W,"No. They were puce. I know because it makes me nauseous, and I hate sweets. Speaking of which, how much do we see of that Mr. “Milkshake”?",Gwendolyn Y
52,00:08:38,Mark S,Milchick.,Mark W
53,00:08:40,Mark W,What?,Mark S
54,00:08:42,Mark S,"It's Milchick, not milkshake. And I don't know.",Mark W
55,00:08:46,Dario R,"Marco, where I can find some ink pencils?",Mark S
56,00:08:51,Mark S,Supply closet.,Dario R
57,00:08:51,Dario R,[Speaks Italian],Mark S
58,00:08:58,Mark S,I'll show ya.,Dario R
59,00:09:05,Gwendolyn Y,"So, did you really see the outie world?",Mark S
60,00:09:05,Mark S,Yeah.,Gwendolyn Y
61,00:09:10,Gwendolyn Y,How's the sky?,Mark S
62,00:09:11,Mark S,I don't know.,Gwendolyn Y
63,00:09:13,Gwendolyn Y,"What, you didn't see it?",Mark S
64,00:09:13,Mark S,"Well, I went outside for a second, but I was distracted by my brother-in-law.",Gwendolyn Y
65,00:09:19,Gwendolyn Y,Seriously? Because we made a list of what we'd most like to see on the outside. And sky was an easy number one. Brothers-in-law weren't even on the list.,Mark S
66,00:09:28,Dario R,Grazie.,Gwendolyn Y
67,00:09:30,Gwendolyn Y,Could you tell what state we were in? Because three of us put Wyoming on our input survey. Did you see any buttes?,Dario R
68,00:09:30,Mark S,No.,Gwendolyn Y
69,00:09:35,Gwendolyn Y,"Oh, my God. How's wind? Is it just like getting breathed on, kind of?",Mark S
70,00:09:38,Miss Huang,"Hello, Refiners.",Mark S
71,00:09:40,Mark S,"Hello, Miss Huang.",Miss Huang
72,00:09:41,Mark W,"Oh, no. It's the ball game.",Miss Huang
73,00:09:45,Miss Huang,Let's head to the kitchenette.,Mark W
74,00:10:01,Miss Huang,"Okay. So, my name is Miss Huang. It's my first day here as deputy manager. I guess something about me is that before this, I was a crossing guard. Mark W.?",Mark W
75,00:10:27,Mark W,Why are you a child?,Miss Huang
76,00:10:31,Miss Huang,Because of when I was born.,Mark W
77,00:10:38,Mark W,"Right. I'm Mark W. I'm from the MDR department of branch 5X, where I worked with Gwendolyn Y. Kind of a fun fact about me is that I thought I'd be permanently retired when my branch shut down. So this is a nice surprise.",Miss Huang
78,00:10:57,Miss Huang,Mark S.?,Mark W
79,00:11:01,Mark W,Okay.,Miss Huang
80,00:11:16,Mark S,I'm Mark S. And I've been here about two years. Something about me… is… that I am lucky enough to have made four new friends today.,Miss Huang
81,00:11:55,Miss Huang,"That's nice, Mark. But I have to remind you that I'm a supervisor, not a friend.",Mark S
82,00:12:22,Mark S,Three new friends.,Miss Huang
83,00:12:29,Miss Huang,Okay. Congratulations to our two Marks. And now…,Mark S
84,00:13:31,Gwendolyn Y,What's your perpetuity wing like? Do the Eagans move?,Mark S
85,00:13:31,Mark S,No.,Gwendolyn Y
86,00:13:36,Gwendolyn Y,Probably because it's an older branch. Ours were animatronic. They even did this little choreographed dance.,Mark S
87,00:13:36,Mark W,So yours just stand there? That's weird.,Dario R
88,00:13:45,Dario R,"In my first perpetuity wing, the Eagans were brooms.",Mark W
89,00:13:48,Gwendolyn Y,Brooms?,Dario R
90,00:13:50,Dario R,Each with a face made of a plate.,Gwendolyn Y
91,00:13:50,Mark W,A plate?,Dario R
92,00:13:52,Dario R,We were very poor.,Mark W
93,00:13:54,Gwendolyn Y,Did you guys have the CPR dummies?,Dario R
94,00:13:56,Dario R,Yeah.,Gwendolyn Y
95,00:13:56,Gwendolyn Y,What were those made of?,Dario R
96,00:13:58,Dario R,Brooms.,Gwendolyn Y
97,00:13:58,Mark W,Did you have an elevator?,Dario R
98,00:14:01,Dario R,"We had– How do you say, um…  a rope.",Mark W
99,00:14:04,Gwendolyn Y,Jesus.,Mark S
100,00:14:22,Mark S,I'm heading out. You good?,Gwendolyn Y
101,00:14:24,Mark W,Yep. Just about to close out.,Mark S
102,00:14:26,Mark S,Good. Thank you.,Mark W
103,00:14:30,Mark W,"You know, my old team was a bunch of dirtbags. We never hit quota. Not once. But it seems like you really liked yours. So, I'm sorry. Good night, Mark.",Mark S
104,00:14:59,Mark S,Good night.,Mark W
105,00:15:36,Mark S,"Hey, everybody.",Mark W
106,00:15:38,Milchick,"“Dear Outie, I don't know if this will reach you, but I'm writing to alert you of the heinous conditions in the severed office to which you have transferred me. The branch is run by a shambolic rube who goes by Milkshake.”",Mark S
107,00:15:54,Mark S,"Oh, my God.",Milchick
108,00:15:55,Milchick,"“A man whose stupidity is rivaled only by that of the nine core principles. If you must continue to send me here, please consider strapping a bomb to me, so that I may explode both Milkshake and the very spirit of Kier Eagan. Wrathfully, your innie, Mark W.”",Mark S
109,00:16:17,Mark S,"Oh, my God. That's very serious.",Milchick
110,00:16:22,Milchick,Is it earnest? Do you really think I'm a shambolic rube?,Mark S
111,00:16:34,Mark S,"Wait, you think I wrote this note?",Milchick
112,00:16:34,Dario R,"[in Italian] It was found, you bad liar.",Gwendolyn Y
113,00:16:37,Gwendolyn Y,Were you going to frame all of us or just Mark W.?,Dario R
114,00:16:40,Mark W,"Clever way to secure the name for yourself, I suppose?",Milchick
115,00:16:45,Milchick,I don't know why you hate this team.,Mark W
116,00:16:45,Mark S,I don't hate this team.,Milchick
117,00:16:49,Milchick,You didn't even disguise your own handwriting.,Mark S
118,00:16:56,Mark S,You know what? I don't even know who this team is. I told you. I want my team. Which part of that don't you understand?,Milchick
119,00:17:11,Milchick,"Mark S., at this time, I revoke your status as Department Chief, which will be transferred to your intended victim, Mark W.",Mark S
120,00:17:22,Mark W,I accept.,Milchick
