,timestamp,speaker,text,talking_to
0,00:00:35,Irving,Hello!,Mark
1,00:00:41,Irving,Hello!,Mark
2,00:00:49,Mark,Irving!,Irving
3,00:00:52,Mark,It's me. I'm up here!,Irving
4,00:00:52,Irving,Mark!,Mark
5,00:00:55,Mark,Yeah!,Irving
6,00:00:57,Mark,Hey!,Irving
7,00:01:01,Irving,What's happening? Where are we?,Mark
8,00:01:04,Mark,"I have no fucking idea, but there's a path up the cliff right down there!",Irving
9,00:01:12,Irving,Do you want me to come up?,Mark
10,00:01:15,Mark,"Well, yeah!",Irving
11,00:01:19,Irving,I'm on the ice. I'm on the fucking ice!,Mark
12,00:01:24,Mark,Maybe get off of it. Come on!,Irving
13,00:01:33,Irving,I'm coming! I'm-I'm coming!,Mark
14,00:01:45,Mark,Be careful! It's very steep!,Irving
15,00:02:25,Helly,Irving.,Irving
16,00:02:27,Irving,Helly!,Helly
17,00:02:30,Irving,Where did you come from?,Helly
18,00:02:32,Helly,I don't know.,Irving
19,00:02:33,Helly,What are we doing out here?,Irving
20,00:02:35,Mark,Up here!,Helly
21,00:02:38,Mark,Follow my voice!,Helly
22,00:02:43,Helly,Mark!,Mark
23,00:02:48,Irving,Mark!,Mark
24,00:02:50,Mark,Up here!,Irving
25,00:02:55,Irving,Mark.,Mark
26,00:02:56,Mark,Hey!,Irving
27,00:02:58,Mark,Are you okay?,Irving
28,00:03:00,Irving,Did you wake up on the ice too?,Mark
29,00:03:00,Mark,Yeah. What about you?,Irving
30,00:03:01,Helly,On the cliff.,Irving
31,00:03:05,Irving,"Oh, my God.",Helly
32,00:03:09,Dylan,Is it you?,Helly
33,00:03:09,Helly,Of course it's us.,Dylan
34,00:03:11,Dylan,"Holy shit! Out-fucking-side. Oh, my God. I mean, I knew there was no actual ceiling, but this is fucking insane.",Helly
35,00:03:22,Helly,Hello? Hello?,Dylan
36,00:03:35,Mark,What is that?,Milchick
37,00:04:30,Milchick,"Good morning, Refiners.",Mark
38,00:04:33,Milchick,"This is Mr. Milchick from work, and I'm thrilled to welcome you to your first ever outdoor retreat and team-building occurrence.",Mark
39,00:04:44,Milchick,"This ORTBO is in response to your desire to see the outside world. With your outies' blessings, you will spend the next two calendar days walking the meadows, thickets, brambles and brooks that make up the Dieter Eagan National Forest.",Mark
40,00:05:03,Dylan,Who the fuck is Dieter Eagan?,Milchick
41,00:05:07,Milchick,"Dieter Eagan? Some of you may be quietly yearning to learn more. The truth you seek lies within the fourth appendix. Kier dictated a fourth appendix in his final hours of life, a text of such sanctity that it is forbidden upon the severed floor. It's waiting for you in Scissor Cave, the very same grotto where Kier Eagan tamed the four tempers for the very first time.",Dylan
42,00:05:39,Milchick,"And do remember, “Stray not from Kier's path, lest you roil nature's wrath.” There will be help along the way. Happy fortunes, MDR.",Dylan
43,00:06:04,Irving,Scissor Cave.,Dylan
44,00:06:17,Dylan,What the fuck is that?,Irving
45,00:06:28,Helly,He looks like Mark.,Mark
46,00:06:42,Mark,Milchick said there'd be help along the way.,Helly
47,00:06:46,Irving,I wouldn't trust a word out of that mountebank's mouth. Not even televisually.,Mark
48,00:07:05,Mark,"Not like we have a lot of other options right now, Irv.",Irving
49,00:09:48,Helly,Wait.,Irving
50,00:10:33,Helly,“Chapter one.”,Irving
51,00:10:36,Helly,"“I was not born into this world alone. The lodgings of my mother's womb I shared with another, a twin brother who was called Dieter.”",Irving
52,00:10:47,Irving,Kier had a twin?,Helly
53,00:10:50,Dylan,That's what those things are.,Mark
54,00:10:53,Mark,Yeah.,Dylan
55,00:10:55,Helly,"“In infancy, he was my bosom friend. But as we blossomed into boyhood, he beseeched me to take to the wood with him to live as paupers. My love for my twin unbalancing my judgment, I acceded, and we ventured into the wood towards…”",Helly and Dylan
56,00:11:14,Helly and Dylan,“Woe's Hollow.”,Helly
57,00:11:23,Irving,"So, we're to walk in the brothers' footsteps.",Kier
58,00:11:33,Irving,“He always crept like this at this hour.”,Kier
59,00:11:37,Irving,"“Once concealed by flora, my brother…”",Kier
60,00:11:41,Kier,“…unfastened himself.”,Irving
61,00:11:43,Kier,“The din of his fervor fell strangely into concert with the music of the wood.”,Irving
62,00:11:51,Kier,“His every thrust found rhythm with the trill of the crickets…”,Irving
63,00:11:57,Kier and Irving,“…and the moaning of the wind…”,Kier
64,00:12:00,Kier and Irving,“…and the snowfall's yearly thaw.”,Kier
65,00:12:04,Kier,"“Dieter became, on that night an instrument of nature…”",Kier and Irving
66,00:12:09,Kier and Irving,“and nature played Dieter with elegance.”,Kier
67,00:12:12,Irving,“I had no choice but to listen as he spilt his lineage upon the soil.”,Dylan
68,00:12:43,Dylan,Now there's a me one.,Irving
69,00:13:28,Mark,You okay?,Helly
70,00:13:31,Helly,Yeah. I just wish I knew where we were going.,Mark
71,00:13:59,Dylan,Fuck.,Irving
72,00:14:24,Irving,What were you and Helly talking about back there?,Dylan
73,00:14:37,Mark,When?,Irving
74,00:14:39,Irving,I don't trust her. I think she might be lying about what her outie saw.,Mark
75,00:14:46,Mark,Why would you think that?,Irving
76,00:14:48,Irving,Night gardeners.,Mark
77,00:14:52,Irving,It's clear you do not have an objective perspective due to your feelings for her.,Mark
78,00:14:56,Mark,"My feelings for her have nothing to do with anything, okay–",Irving
79,00:15:20,Dylan,What the fuck?,Irving
80,00:15:25,Irving,What is it?,Dylan
81,00:15:27,Mark,I don't know. Looks like a seal?,Helly
82,00:15:37,Helly,Why does it look so messed up?,Mark
83,00:15:40,Mark,I don't know. Maybe this is what dead things look like.,Helly
84,00:15:46,Irving,We should eat it.,Dylan
85,00:15:48,Dylan,Pardon me?,Irving
86,00:15:49,Irving,We don't know if there's food waiting at the hollow. We don't even know where we are.,Dylan
87,00:15:54,Dylan,"They can't let anything happen to us. It's an ORTBO. Outdoor retreat team-building occurrence. Right, Mark?",Irving
88,00:16:01,Irving,We don't know what this is. We don't know anything!,Dylan
89,00:16:04,Mark,"Irving, calm down.",Irving
90,00:16:09,Mark,We all know you had a bad experience the last time you were outside–,Irving
91,00:16:12,Irving,Who said I had a bad experience?,Mark
92,00:16:14,Mark,"Oh, my God.",Irving
93,00:16:17,Irving,"What did you tell him, dumbass?",Mark
94,00:16:19,Dylan,Nothing! What the fuck?,Mark
95,00:16:23,Mark,Let's just get to the hollow.,Dylan
96,00:17:19,Milchick,Kier's twin was always with him. That's why we provided the very same for each of you.,Dylan
97,00:17:28,Dylan,Fuck you all. I was right.,Milchick
98,00:17:30,Irving,Mr. Milchick.,Milchick
99,00:17:32,Milchick,"This is the tallest waterfall on the planet. You have followed the path of Kier and Dieter, and reached Woe's Hollow. You stand upon sacred earth.",Irving
100,00:17:47,Irving,"We're starving, Mr. Milchick.",Milchick
101,00:17:50,Milchick,"Are you? I thought the waterfall's grandeur would satiate you. I'm teasing, of course. Lumon will always protect and provide. Right this way.",Irving
102,00:19:06,Milchick,"Miss Huang has been readying the grill for which we brought in copious luxury meats. The fire will be used for marshmallows and a recital later. The tents, as you can see, are MDR blue and the outhouse is stocked with four-ply washroom tissue.",Irving
103,00:19:28,Helly,Wow.,Milchick
104,00:19:30,Milchick,"Wow, indeed, Helly R.",Helly
105,00:19:33,Milchick,"Also, for your comfort and safety, torches, which can provide both a heat and a light source. Double duty.",Helly
106,00:19:46,Mark,It's beautiful.,Ms. Huang
107,00:19:49,Ms. Huang,"Pretty cool, right?",Mark
108,00:19:54,Irving,"Yes, lovely.",Helly
109,00:20:02,Helly,Irving?,Irving
110,00:20:03,Irving,Enter.,Helly
111,00:20:18,Helly,Made you a snow seal. In case you were hungry.,Irving
112,00:20:31,Irving,Yeah. I feel silly for suggesting we eat that animal. I suppose it sounded alarmist and paranoid. Irrational.,Helly
113,00:20:44,Helly,No. It was fine. We were all a little… Yeah.,Irving
114,00:21:03,Irving,What did you really see during the overtime contingency?,Helly
115,00:21:14,Helly,I told you.,Irving
116,00:21:17,Irving,It's okay. It won't change anything.,Helly
117,00:21:31,Helly,Irving.,Irving
118,00:21:43,Helly,Okay.,Irving
119,00:22:06,Milchick,"“Dieter lay unwashed in his bedroll, though the hollow's pool was primed for bathing. We ate of the hare we'd caught and told each other rhyming jokes till our gullets ached. But at last, the thought tickling my mouth emerged. 'We must return to Father,' I said. 'But I promise to look after you in the ether mill.' When at last a sound came from him, it was a bewailing whimper. He believed, I suppose, that we'd be woodland paupers forever.”",Irving
120,00:22:48,Milchick,"“I was looking at him when his eye came out. It popped from the socket, driven by a sudden torrent of pus from his skull. And he reached up to grasp at his hair, which was suddenly moss that tore easily from his bleeding scalp.”",Irving
121,00:23:10,Irving,Good heavens.,Milchick
122,00:23:11,Milchick,"“And as the pus from his eye thickened into sap, I turned from my gargling brother and walked to the pool of the hollow, where I knew the waterfall would drown out my brother's cries.”",Irving
123,00:23:28,Dylan,That's actually really smart.,Milchick
124,00:23:30,Milchick,"“And it was here that I first encountered the temper Woe, a gaunt bride, half the height of a natural woman. She spoke to me directly from her eyes and said, 'This is your doing. You suffered his wantonness. Now he's no one's brother. Only chaos's whore.'”",Dylan
125,00:24:27,Milchick,The end.,Dylan
126,00:24:35,Milchick,"Perhaps in the morning, we'll have time for the next chapter… “Kier and the Thieving Nanny.”",Dylan
127,00:24:44,Helly,Creepy.,Irving
128,00:24:47,Irving,"Did his brother really die that way, Mr. Milchick?",Helly
129,00:24:54,Milchick,The handbook enriches our work with tales of the founder's life. Every word is truth.,Helly
130,00:25:06,Helly,I'm sorry. Sorry.,Milchick
131,00:25:09,Milchick,Helly.,Helly
132,00:25:12,Helly,What?,Milchick
133,00:25:17,Milchick,Helly R.?,Helly
134,00:25:21,Helly,"You guys… He melted, right? He turned into the forest because he masturbated. I mean, seriously, that's actually the dumbest thing I've ever heard. Right? He jerked off in front of his brother… and he got punished for it.",Milchick
135,00:25:41,Mark,Wha… You can't say that.,Helly
136,00:25:43,Helly,He just said it.,Mark
137,00:25:43,Mark,Wha… He did. I… It's…,Helly
138,00:25:51,Milchick,"You know, we often laugh at what we don't understand. The team I thought I knew would have processed more thoughtfully.",Mark
139,00:26:06,Milchick,"Miss Huang. The marshmallows, please. Throw them in the fire.",Mark
140,00:26:25,Mark,"Mr. Milchick, come on.",Milchick
141,00:26:28,Milchick,"Now, Miss Huang.",Mark
142,00:26:35,Helly,"Oh, my…",Dylan
143,00:26:35,Dylan,Why?,Helly
144,00:26:38,Milchick,"Marshmallows are for team players, Dylan. They don't just hand them out.",Helly
145,00:26:50,Helly,What?,Milchick
146,00:26:54,Milchick,Good night.,Helly
147,00:27:04,Helly,Wow.,Milchick
148,00:27:06,Mark,"Oh, my God.",Helly
149,00:27:09,Helly,"Hey, what do you think his dick turned into?",Mark
150,00:27:19,Irving,It isn't funny.,Mark
151,00:27:22,Mark,I don't know. It's pretty funny.,Irving
152,00:27:23,Irving,"Well, it's not.",Mark
153,00:27:23,Mark,Okay.,Irving
154,00:27:26,Irving,And stop making goo-goo eyes at her.,Mark
155,00:27:31,Mark,I'm not.,Irving
156,00:27:31,Helly,Stop.,Dylan
157,00:27:34,Dylan,“Goo-goo eyes”?,Helly
158,00:27:38,Irving,"Just tell us, Helly.",Helly
159,00:27:41,Helly,What?,Irving
160,00:27:42,Mark,Come on. Tell us.,Helly
161,00:27:44,Helly,Tell us what?,Mark
162,00:27:47,Irving,Just tell us about him.,Helly
163,00:27:49,Helly,Who?,Irving
164,00:27:54,Irving,The night gardener.,Helly
165,00:27:58,Mark,"Oh, Irv, come on.",Irving
166,00:28:00,Irving,Did he have a flashlight? What was he wearing?,Mark
167,00:28:06,Dylan,"What is your deal right now, dude?",Irving
168,00:28:08,Irving,What color was his shirt? Did he have on a vest? A luminescent vest? Tell us…,Dylan
169,00:28:08,Helly,Okay.,Irving
