,timestamp,speaker,text,talking_to
0,00:04:23,Magnus,You hear about that clusterfuck up on North Pine?,Hampton
1,00:04:26,Hampton,Dutch Stevens' kid.,Magnus
2,00:04:28,Magnus,How the fuck do you flip a two-ton snow plow?,Hampton
3,00:04:31,Hampton,With stupidity. The apple don't fall far from the gutter.,Magnus
4,00:04:36,Magnus,"Well, that's kind of you.",Hampton
5,00:04:38,Hampton,On the house.,Magnus
6,00:04:40,Magnus,Thank you.,Hampton
7,00:04:44,Hampton,"Hey, Rose. You want a refill?",Magnus
8,00:04:50,Rose,You can top me off anytime.,Hampton
9,00:04:54,Hampton,I like the new do. Très chic.,Rose
10,00:06:04,Harmony,"Harmony Cobel. Well, flip my toboggan.",Hampton
11,00:06:19,Hampton,You want coffee?,Harmony
12,00:06:22,Harmony,No.,Hampton
13,00:06:26,Hampton,Tables are for paying customers.,Harmony
14,00:06:30,Harmony,Fine. Then buy me a coffee.,Hampton
15,00:06:41,Harmony,The town is older than I remember. Frailer.,Hampton
16,00:06:55,Hampton,"Yeah, well, with the market readjustment from a few years ago and the fluctuating interest rates, there was a retrenchment from some of the core infrastructure investments.",Harmony
17,00:07:14,Harmony,I need a favor. But not here. Meet me at the factory.,Hampton
18,00:07:43,Hampton,"Hey, Dot. Close up for me.",Harmony
19,00:07:43,Dot,Sure.,Hampton
20,00:09:57,Hampton,You know how fucked it is to ask me to come here?,Dot
21,00:10:03,Harmony,I need you to drive me to Sissy's.,Hampton
22,00:10:13,Hampton,"No, thanks.",Harmony
23,00:10:18,Harmony,"If they're watching the house, they'll recognize my car.",Hampton
24,00:10:25,Hampton,How much trouble are you in?,Harmony
25,00:10:31,Harmony,Enough.,Hampton
26,00:10:41,Hampton,You know she still lives by the nine?,Harmony
27,00:10:47,Harmony,I assumed.,Hampton
28,00:10:49,Hampton,Then you know she's a fucking pariah here.,Harmony
29,00:10:53,Harmony,You can stay in the truck. I need to get something.,Hampton
30,00:11:04,Hampton,Why would I help you with anything?,Harmony
31,00:11:13,Harmony,We were once chums. Old colleagues lift each other up.,Hampton
32,00:11:23,Hampton,Colleagues? Child fucking labor.,Harmony
33,00:11:37,Harmony,"Kier and Imogene met at the Ether Mill, you know that?",Hampton
34,00:11:47,Hampton,Was she hacking up a lung at the time?,Harmony
35,00:11:51,Harmony,I can smell it on your breath. Pathetic.,Hampton
36,00:11:54,Hampton,Fuck you.,Harmony
37,00:11:56,Harmony,You can help me or not. But I'll not be the punching dummy for your resentments.,Hampton
38,00:13:45,Hampton,Coast is clear.,Harmony
39,00:13:56,Harmony,You're higher than a bearded vulture.,Hampton
40,00:14:05,Hampton,Tell her to drop dead for me.,Harmony
41,00:14:18,Sissy,You are not welcome here. This is trespass. I have a mind to call the authorities. I do not want that huff peddler on my property.,Harmony
42,00:14:35,Harmony,You gave him his thirst for it.,Sissy
43,00:14:38,Sissy,You've a liar's mouth. Do you want to come down here and tell me what this is all about?,Harmony
44,00:15:14,Harmony,What have you done with my things?,Sissy
45,00:15:18,Sissy,Sold. To the poor.,Harmony
46,00:15:21,Harmony,They weren't yours to sell.,Sissy
47,00:15:24,Sissy,I sit in this house. You do not.,Harmony
48,00:15:29,Harmony,Has anyone been here?,Sissy
49,00:15:32,Sissy,No one comes here.,Harmony
50,00:15:36,Harmony,Or telephoned?,Sissy
51,00:15:43,Sissy,A Mr. Drummond.,Harmony
52,00:15:47,Harmony,And what did he want?,Sissy
53,00:15:54,Sissy,"What have you done, little mouse?",Harmony
54,00:16:01,Sissy,Harmony!,Harmony
55,00:16:03,Harmony,I want the key to Mother's room.,Sissy
56,00:16:05,Sissy,That room stays shut until all who remember her sit with Kier. You know this.,Harmony
57,00:16:11,Harmony,Give me the key.,Sissy
58,00:16:14,Sissy,Why do you bring nothing but woe into my life?,Harmony
59,00:16:18,Harmony,"No, it is you who cursed this house with woe.",Sissy
60,00:16:22,Sissy,I will not have this quarrel.,Harmony
61,00:16:28,Harmony,What were her last words?,Sissy
62,00:16:31,Sissy,"Child, do not test me.",Harmony
63,00:16:35,Harmony,What were they? She said nothing after you pulled the tube from her gullet.,Sissy
64,00:17:01,Sissy,There was gratitude in her eyes to be freed from her suffering. If only she had been a believer. Perhaps she would have found solace in the nine.,Harmony
65,00:17:33,Sissy,"You didn't have to listen to her wheezing as I did, day after day.",Harmony
66,00:17:44,Harmony,"I would have cared for her myself, had I not been at school.",Sissy
67,00:17:51,Sissy,Where you belonged.,Harmony
68,00:17:57,Harmony,I didn't even get to say goodbye.,Sissy
69,00:18:02,Sissy,"Your studies were more important. Mr. Eagan saw Kier in you. He really did. And the Wintertide Fellowship. Even at the factory, no apprentice was more industrious than you. Such a disappointment you've proven to be.",Harmony
70,00:18:33,Harmony,What did Drummond tell you?,Sissy
71,00:18:39,Sissy,"Return and plead forgiveness, child. The Eagans will grant it.",Harmony
72,00:18:47,Harmony,"And show me mercy, just like you did with Mother.",Sissy
73,00:19:00,Harmony,Where is the key?,Sissy
74,00:19:15,Sissy,All you will find in there is pain.,Harmony
75,00:19:52,Harmony,Where is it?,Sissy
76,00:20:11,Harmony,I found it!,Sissy
77,00:20:22,Harmony,Come on.,Sissy
78,00:24:06,Sissy,Don't! Stand away!,Harmony
79,00:24:07,Hampton,Get your harpy hands off me.,Sissy
80,00:24:09,Sissy,"You've no salutation here, you blighted snuff slave.",Hampton
81,00:24:13,Hampton,"All right, I missed you too. You smell like crow skin.",Sissy
82,00:24:15,Sissy,I'll phone somebody. I swear it!,Hampton
83,00:24:16,Hampton,"Yeah, call everyone. We'll have a fucking kegger.",Sissy
84,00:24:19,Sissy,This is a pure house.,Hampton
85,00:24:20,Hampton,Back off or I'll put you in the bay!,Sissy
86,00:24:28,Harmony,What is it? What happened?,Hampton
87,00:24:30,Hampton,Nothing. Came to get you. She's not too happy about it.,Harmony
88,00:24:35,Harmony,Did you see something?,Hampton
89,00:24:36,Hampton,"No, but it's cold as shit in the truck, and I gotta get back.",Harmony
90,00:24:42,Harmony,I have to find it.,Hampton
91,00:24:44,Hampton,Find what?,Harmony
92,00:24:47,Harmony,Just give me a minute just to think.,Hampton
93,00:25:10,Hampton,I liked her.,Harmony
94,00:25:20,Harmony,You barely knew her.,Hampton
95,00:25:25,Hampton,She hated Lumon more than I did. That's all I needed to know. At least she doesn't have to live with Sissy anymore.,Harmony
96,00:26:08,Hampton,You wanna get high?,Harmony
97,00:27:26,Harmony,"Wow. Oh, I haven't done that since I was eight.",Hampton
98,00:27:41,Hampton,You ready to man the vat for ten hours?,Harmony
99,00:27:55,Harmony,It's so shameful that you sell it.,Hampton
100,00:28:40,Hampton,I don't think it's here. What you're looking for.,Harmony
101,00:28:55,Sissy,Get out of here!,Harmony
102,00:29:02,Harmony,She wouldn't throw it away.,Sissy
103,00:31:13,Hampton,Find it?,Harmony
104,00:31:15,Harmony,Get the truck ready. And watch my head.,Hampton
105,00:31:28,Harmony,I'm going. Don't tell them I was here.,Hampton
106,00:31:31,Sissy,I would never bear falsity to a steward of the Eagans.,Harmony
107,00:31:37,Harmony,Lumon destroyed this town. You owe them no loyalty.,Sissy
108,00:31:44,Sissy,"There was no town before the factory. And what about your own employ? Everything that you have, you owe back to the Eagans as fealty.",Harmony
109,00:32:00,Harmony,Fealty? Mine! My designs! Circuit blueprint… Base code… Overtime contingency… Glasgow block. All of it.,Sissy
110,00:32:22,Sissy,Jame Eagan was the inventor.,Harmony
111,00:32:25,Harmony,So I've heard.,Sissy
112,00:32:44,Sissy,Extraordinary. Why have you never spoken of this?,Harmony
113,00:32:52,Harmony,It was told Kier's knowledge is for all.,Sissy
114,00:32:57,Sissy,That is true.,Harmony
115,00:33:00,Harmony,"That if I sought credit, I would be banished.",Sissy
116,00:33:20,Harmony,I hope you die as painfully as she did.,Sissy
117,00:33:26,Sissy,"It was her hand that removed the tube, not mine.",Harmony
118,00:33:30,Harmony,No!,Sissy
119,00:33:32,Sissy,Your mother was a coward. More sick in the soul than in the body. Filled with malice and resentment.,Harmony
120,00:33:46,Harmony,I don't believe you!,Sissy
121,00:33:50,Sissy,"I thought you were different… my flower. I tried to help you grow. But now I see you are a weed, just as she was.",Harmony
122,00:34:09,Hampton,Hey! Someone's comin'!,Harmony
123,00:34:26,Hampton,You better get going.,Harmony
124,00:34:35,Harmony,Hampton.,Hampton
125,00:34:36,Hampton,I'll see you around.,Harmony
126,00:34:56,Hampton,"Come and tame these tempers, assholes.",Harmony
127,00:35:11,Devon,"Mrs. Selvig? Thank fuck, I've been trying to reach you.",Harmony
128,00:35:14,Harmony,"Yes, I'm aware.",Devon
129,00:35:17,Devon,"So, listen, Mark has been reintegrating.",Harmony
130,00:35:20,Harmony,Reghabi?,Devon
131,00:35:22,Devon,Yeah.,Harmony
132,00:35:23,Harmony,And she hasn't killed him yet?,Devon
133,00:35:25,Devon,"No. I mean, I think he's okay? But listen, we wanna try something else.",Harmony
134,00:35:29,Harmony,Is Mark with you?,Devon
135,00:35:32,Devon,Uh-huh. Yes.,Harmony
136,00:35:32,Harmony,Put him on.,Devon
137,00:35:37,Mark,Yeah. Hello?,Harmony
138,00:35:40,Harmony,Tell me everything.,Mark
