season,episode,timestamp,speaker,text
1,1,00:15:20,Cobel,"Mark, would you place your key card on my desk?"
1,1,00:15:29,Cobel,"Mark S., at this time I confer upon you the freedom to serve Kier in the advanced role of Macrodata Refinement department chief. Congratulations."
1,1,00:15:49,Cobel,"Oh, a handshake is available upon request."
1,1,00:15:58,Mark,Thank you. May I have a handshake?
1,1,00:16:07,Cobel,"I know you haven’t run a training before, but Irving will be there to shadow. Just stick to the flowchart and escalate properly depending on dialectics. You’ll be fine."
1,1,00:16:17,Milchick,"If you need to take a few minutes…
Mark: Thank you. I don’t."
1,1,00:16:23,Mark,"Oh, and, uh, thank you to the Board as well."
1,1,00:16:28,Cobel,The Board won’t be contributing to this meeting vocally.
1,1,00:16:43,Irving,"Our last refiner, who was a woman, was…"
1,1,00:16:46,Mark,Carol. Dylan’s old seat.
1,1,00:16:51,Irving,Don’t be sad.
1,1,00:16:52,Mark,I’m fine. We’ll be fine.
1,1,00:16:54,Irving,I know you and Petey were close. He was the only one who really appreciated your humor.
1,1,00:17:00,Mark,"Everything’s fine. So, I’m supposed to start with just the input survey? Isn’t that a little weird?"
1,1,00:17:05,Milchick,"It’s standard. Just start at 1A and continue by line, based on her answers."
1,1,00:17:10,Mark,"Well, what if I just talk to her?"
1,1,00:17:12,Milchick,She deserves to have the information presented to her in the proper order. Just as you had.
1,1,00:17:17,Mark,"“If the trainee becomes agitated and demands to leave, skip to page 19.”"
1,1,00:17:24,Irving,She has to ask three times for you to let her.
1,1,00:17:27,Mark,Right. Yes.
1,1,00:17:33,Mark,Image is good.
1,1,00:17:36,Irving,She looks nice.
1,1,00:17:39,Milchick,Okay. You’re all set.
1,1,00:17:44,Milchick,I just love seeing you all come in like this.
1,1,00:17:48,Milchick,Go on ahead when you’re ready.
1,1,00:17:53,Irving,"All right.
Mark: Okay."
1,1,00:18:02,Irving,There you go.
1,1,00:18:06,Mark,Who are you?
1,1,00:18:16,Irving,All right.
1,1,00:18:19,Mark,Who are you?
1,1,00:18:26,Irving,"Mark.
Mark: What?"
1,1,00:18:28,Irving,You skipped the preamble.
1,1,00:18:30,Helly,Hello?
1,1,00:18:31,Mark,Shit!
1,1,00:18:36,Mark,"I’m sorry, I got ahead of myself."
1,1,00:18:42,Irving,"That’s it.
Mark: Okay."
1,1,00:18:45,Mark,"Hi there, you on the table. I wonder if you’d mind taking a brief survey."
1,1,00:18:51,Helly,Who is that?
1,1,00:18:53,Mark,"Five questions. Now, I know you’re sleepy, but I just bet it’ll make you feel right as rain."
1,1,00:19:01,Helly,Who’s speaking?
1,1,00:19:02,Mark,“Who’s speaking?”
1,1,00:19:17,Helly,Hey! Open the door!
1,1,00:19:18,Irving,Mark.
1,1,00:19:20,Mark,"I’d be just thrilled to chat, once we’ve run the survey. Shall we begin with question one?"
1,1,00:19:24,Helly,I’m not taking your survey.
1,1,00:19:29,Mark,Shall we begin with question one?
1,1,00:19:32,Helly,Let me out of here. Hey!
1,1,00:19:37,Helly,"Open the door!
Irving: She’s not supposed to do that."
1,1,00:19:40,Helly,Hey!
1,1,00:19:41,Irving,She’s going to break in.
1,1,00:19:43,Helly,"Let me out!
Mark: No, she’s not."
1,1,00:19:46,Milchick,Are you seeing this?
1,1,00:19:48,Cobel,I’m watching.
1,1,00:19:51,Milchick,Should I help?
1,1,00:19:54,Cobel,You should not.
1,1,00:20:02,Mark,That’s a perfect score.
1,1,00:20:05,Mark,"Now, I think I know where our disconnect is coming from."
1,1,00:20:10,Helly,"What?
Mark: Well, there was a preamble, which I was supposed to read before the survey, to lead into the questions and… But I unfortunately skipped that and went straight into the survey."
1,1,00:20:22,Helly,Am I livestock?
1,1,00:20:24,Mark,I’m sorry?
1,1,00:20:26,Helly,"Like, did you grow me as food and that’s why I have no memories?"
1,1,00:20:33,Mark,"You think we grew a full human, gave you consciousness…"
1,1,00:20:38,Helly,"I don’t know.
Mark:  did your nails and…"
1,1,00:20:39,Helly,I don’t know. I don’t know you.
1,1,00:20:41,Mark,"No, you’re not livestock. Good Lord."
1,1,00:20:44,Helly,Then what’s my name?
1,1,00:20:47,Mark,Helly. Your name is Helly. Helly R.
1,1,00:20:52,Mark,Please.
1,1,00:21:08,Mark,"Thank you for taking the welcome survey. I can sense that the questions made you feel afraid or disoriented. Well, the good news is, you’re at an orientation."
1,1,00:21:25,Mark,"You see, you have been hired to a position on the Severed Floor of Lumon Industries."
1,1,00:21:31,Helly,The what floor?
1,1,00:21:44,Mark,"I understand you’re confused about the severance procedure. Before we hop on that, let’s chat about something I bet you have heard of, the work/life balance. To start, imagine yourself as a seesaw."
1,1,00:22:01,Mark,Ow! Fuck!
1,1,00:22:02,Mark,That locks from out there!
1,1,00:22:04,Helly,"Let me out!
Mark:  God!"
1,1,00:22:08,Mark,Can we just take a beat? Please.
1,1,00:22:24,Mark,Please.
1,1,00:22:47,Mark,"Okay, my name’s Mark. And, uh… So, I…"
1,1,00:22:53,Mark,"You know, few years back, I woke up on this table. In this room. And a disembodied voice asked me 19 times who I was."
1,1,00:23:07,Mark,"And when I realized I couldn’t answer, I told that voice that I would find him and kill him."
1,1,00:23:16,Mark,"I don’t know why I said that. I mean, I was scared too."
1,1,00:23:20,Helly,Did you kill the voice?
1,1,00:23:23,Mark,No.
1,1,00:23:25,Mark,"No, that voice’s name was Petey, and he became my best friend."
1,1,00:23:32,Mark,"So, look, you know, there is a life to be had here, Helly."
1,1,00:23:36,Helly,A life to be had?
1,1,00:23:47,Mark,"Well, you see, life, like a seesaw, requi—"
1,1,00:23:56,Helly,Let me the fuck out of here!
1,1,00:24:07,Mark,"Ask me again.
Helly: What?"
1,1,00:24:10,Mark,You’ve asked twice to be let go. Ask one more time.
1,1,00:24:16,Helly,"Mark.
Mark:  Yeah?"
1,1,00:24:18,Helly,I would like to leave the building now.
1,1,00:24:23,Mark,"I understand you don’t feel it’s working out for you here at Lumon. While disappointed, I’d hate to keep you somewhere you’re not happy. So, let’s get you outta here."
1,1,00:24:39,Mark,Irv.
1,1,00:25:03,Mark,"The departments are pretty spaced out, but it’ll all fill in one day. They’re planning an expansion."
1,1,00:25:10,Helly,"And I’m, what, part of that?"
1,1,00:25:12,Mark,No. You’re a replacement.
1,1,00:25:15,Helly,Replacement for who? Why are you saying that like you hate it?
1,1,00:25:27,Mark,Here’s your stairwell. Just past the bend.
1,1,00:25:36,Helly,You’re not coming with me?
1,1,00:25:38,Mark,I’m not allowed to see.
1,1,00:25:39,Helly,Excuse me?
1,1,00:25:41,Mark,"Well, once you leave, you… I just can’t watch you leave."
1,1,00:25:53,Helly,Of course you can’t.
1,1,00:26:27,Helly,What the hell?
1,1,00:27:21,Helly,"Am I dead?
Mark: No."
1,1,00:27:24,Helly,"This isn’t, like, hell or something?
Mark: No."
1,1,00:27:27,Helly,Then why the fuck can’t I leave?
1,1,00:27:29,Mark,"Well, you did leave, just now. Out into the stairwell at least."
1,1,00:27:32,Mark,"You left, but you came back."
1,1,00:27:35,Helly,"I did not.
Mark: You did. Come on."
1,1,00:27:42,Cobel,"Weaponizing office equipment on your first day. You are gonna be fun. Look, I do sympathize. I’ve wanted to pummel Mark myself, but I am his employer. And he is your department chief. So we’ll both have to be strong. The good news is, there’s only one part left of your orientation, which Mark can’t possibly derail."
1,1,00:28:11,Helly,Why is that?
1,1,00:28:12,Cobel,Because it’s a video.
1,1,00:28:22,Cobel,"Welcome to Lumon, Helly."
1,1,00:28:50,Cobel,Have a seat.
1,1,00:29:10,Mark,Are you mad at me?
1,1,00:29:13,Cobel,For the incompetence or the disobedience?
1,1,00:29:18,Mark,"Well…
Cobel: Yes!"
1,1,00:29:22,Cobel,"You know, my mother was an atheist. She used to say that there was good news and bad news about hell. The good news is, hell is just the product of a morbid human imagination. The bad news is, whatever humans can imagine, they can usually create."
1,1,00:29:47,Mark,I don’t know what that means.
1,1,00:29:51,Cobel,A department like yours can go so good or so bad. You know what makes the difference? The people.
1,1,00:30:16,Milchick,You can have a seat.
1,1,00:30:31,Milchick,"Okay, go ahead and have a seat."
1,1,00:30:44,Helly,"My name is Helly R. I’m making this video roughly two hours before it will be shown to me. I have, of my own free accord, elected to undergo the procedure colloquially known as severance. I give consent for my perceptual chronologies to be surgically split, separating my memories between my work life and my personal life. I acknowledge that, henceforth, my access to my memories will be spatially dictated. I will be unable to access outside recollections whilst on Lumon’s severed basement floor, nor retain work memories upon my ascent. I am aware that this alteration is comprehensive and irreversible. I make these statements freely."
1,1,00:31:44,Milchick,"Okay, that’s a wrap."
1,1,00:31:54,Milchick,Okay. Go ahead.
1,1,00:32:16,Helly,So I’ll never leave here?
1,1,00:32:20,Mark,"You’ll leave at 5:00. Well, actually, they stagger our exits, so 5:15. But it won’t feel like it. Not to this version of you anyway."
1,1,00:32:31,Helly,Do I have a family?
1,1,00:32:33,Mark,You’ll never know.
1,1,00:32:36,Helly,And I have no choice.
1,1,00:32:39,Mark,"Well, every time you find yourself here, it’s because you chose to come back."
1,1,00:33:13,Irving,Hello.
1,1,00:33:52,Mark,Good night.
1,1,00:33:53,Judd,Good night.
1,1,00:34:43,Mark,"“Dear Mark, Whilst carrying boxes in a room today, you slipped on an overhead projector slide and sustained a minor blow to the temple.”"
1,1,00:35:20,Helly,Hey!
1,1,00:35:22,Mark,Sorry.
1,1,00:35:25,Helly,Maybe keep your eyes on the icy road.
1,1,00:35:29,Mark,Sorry.
1,1,00:36:30,Television,"Indeed, this gnat will spend much of its three to seven-day life…"
1,1,00:36:52,Mark,"No, I know, Mrs. Selvig. It’s just, it was in my space again. Yeah. Well, trash comes tomorrow night. Tonight’s recycling. Yeah, it is weird, but that’s how they do it. And with both yours, there’s no room for…"
1,1,00:37:25,Devon,"Hey.
Mark: Hey."
1,1,00:37:31,Devon,Did you forget?
1,1,00:37:37,Mark,"Oh, yeah. Shit."
1,1,00:37:38,Devon,That’s okay.
1,1,00:37:40,Mark,"Sorry.
Devon: That’s fine."
1,1,00:37:41,Devon,"Do you wanna put on pants, and I’ll…
Mark: I’m wearing pants."
1,1,00:37:44,Devon,meet you in… Those are not pants.
1,1,00:37:47,Mark,"So if there’s no dinner, how is it dinner?"
1,1,00:37:51,Devon,"Okay.
Mark: Like…"
1,1,00:37:53,Devon,You actually owe me this.
1,1,00:37:55,Mark,"Do I?
Devon: Yep."
1,1,00:37:57,Devon,You remember that time when we were kids and I was a way better sibling than you?
1,1,00:38:00,Mark,Must have slipped my mind.
1,1,00:38:04,Devon,"Also, I know we’re nearing the anniversary, so I just thought maybe you’d wanna be around people."
1,1,00:38:10,Mark,Nope.
1,1,00:38:13,Devon,This is nice. When did you get it?
1,1,00:38:15,Mark,"Something from work, and they apologized."
1,1,00:38:18,Devon,They apologized. Thank God. Did they tack an explanation onto that apology?
1,1,00:38:22,Mark,It’s fine. Got a gift card.
1,1,00:38:25,Devon,You got a gift card. Where’s he going to?
1,1,00:38:29,Mark,I don’t know. Pip’s.
1,1,00:38:31,Devon,"Of course it’s Pip’s. Well, enjoy."
1,1,00:38:34,Mark,"I will, without you."
1,1,00:38:45,Ricken,There’s our captive.
1,1,00:38:46,Mark,"Hi, Rick.
Ricken: Ricken. Come on, it’s Ricken."
1,1,00:38:50,Ricken,"You, sir, look at peace.
Mark: You know."
1,1,00:38:53,Mark,"Okay.
Devon: Hi, baby."
1,1,00:38:54,Ricken,Hi.
1,1,00:38:56,Patton,"No, what a lot of people overlook, I think, is that life is not food."
1,1,00:39:00,Danise,"Right.
Patton: You’ve got life,"
1,1,00:39:02,Patton,"this complex quality of sentience and activity. And then you’ve got food, which is what?"
1,1,00:39:09,Ricken,"Yes, what is it?
Patton: Fuel."
1,1,00:39:11,Patton,Calories. It’s not the same thing.
1,1,00:39:13,Ricken,"Yes, that is spot on, Patton.
Rebeck: I definitely agree."
1,1,00:39:15,Devon,"Though, if I’m…Sorry, Mark and my dad used to have “whiskey is life” carved on a flask."
