timestamp,speaker,text
00:02:16,Judd,"Good morning, Mr. Scout."
00:02:44,Mark,"One, two, three, four, five,"
00:02:48,Mark,"six, seven, eight, nine, ten, 11, 12."
00:02:56,Mark,"Thirty-two, 33, 34,"
00:02:59,Mark,"35, 36, thirty-se–"
00:04:31,Mark,"Okay, me and Helly will find the goat man and other possible goat people."
00:04:37,Mark,"Dylan, hit the new break room."
00:04:39,Mark,Maybe some of the other departments use it too.
00:04:42,Dylan,Yeah. Maybe later.
00:04:45,Mark,"Okay. This is kind of important, Dylan."
00:04:48,Dylan,"Yeah. I'm in a good groove here, but don't worry about it. I'll get to it."
00:04:51,Mark,"Okay. Well, just show them the sketch. Do not leave it behind."
00:04:59,Irving,O&D.
00:05:01,Mark,"Yes, Irv. You can do this."
00:05:06,Irving,I know.
00:05:07,Helly,You guys really think they're gonna let us roam around?
00:05:09,Mark,They said on the video we can go wherever we want.
00:05:13,Mark,"Lumon is listening, remember?"
00:05:15,Dylan,I thought that meant they were listening to our conversations.
00:05:17,Irving,"Yeah, he's right, Mark. I did get the hint of a double meaning."
00:05:21,Mark,"Well, be discreet."
00:05:23,Mark,"If they don't know we're doing it, how can they punish us?"
00:05:28,Helly,"Hey, you haven't been back there, have you?"
00:05:32,Irving,"No, no."
00:05:39,Helly,We've got you.
00:05:43,Irving,"Thank you, Helly."
00:05:54,Helly,"So, say we find her…"
00:05:57,Mark,Sorry?
00:05:58,Helly,"Say we get to the goat department and they're like,"
00:06:01,Helly,"“Yes, Ms. Casey's here. She's in this goat cage.”"
00:06:05,Helly,What do we do then?
00:06:06,Mark,"Well, we get her to the south stairwell… I'll go with her…"
00:06:09,Mark,"and once we're out the door, my outie'll know what to do."
00:06:13,Helly,"Right. Okay. Well, sounds like you've got it figured out."
00:06:21,Mark,Are you sure you're okay helping me out with this?
00:06:26,Helly,"Yeah, of course."
00:06:30,Mark,"Okay, good."
00:06:50,Mark,Yeah.
00:07:05,Mark,I… I…
00:07:52,Irving,Dylan.
00:07:54,Dylan,I thought you were going to O&D.
00:07:58,Irving,Dylan.
00:08:00,Irving,I've recreated the paintings.
00:08:03,Irving,The ones I told you about. The ones my outie was working on.
00:08:07,Dylan,What?
00:08:08,Irving,"You see, I've been thinking."
00:08:11,Irving,Maybe the hallway is really down here.
00:08:14,Irving,Maybe that's what my dreams have been.
00:08:19,Irving,"We could look for it, Dylan."
00:08:22,Irving,We could go today.
00:08:24,Irving,You could accompany me.
00:08:28,Dylan,Yeah.
00:08:32,Dylan,"Yeah, maybe."
00:08:33,Dylan,"Or maybe you go yourself, like, for stealth, you know?"
00:08:39,Irving,"Stealth?
Dylan: Yeah."
00:08:42,Dylan,"Look, I can't really explain. I just–"
00:08:47,Irving,Miss Huang.
00:08:56,Irving,Hall pass.
00:09:05,Irving,Everything chill?
00:09:10,Miss Huang,"Dylan G., come with me, please."
00:09:18,Natalie,"Good morning, Seth."
00:09:20,Milchick,Natalie.
00:09:24,Natalie,Looks like your balloons could use some coffee.
00:09:29,Milchick,"They were in the–
Natalie: I've got the Board."
00:09:32,Milchick,Of course.
00:09:38,Milchick,Hello.
00:09:41,Natalie,"The Board says, “Hello.”"
00:09:48,Milchick,Hello. I want to thank the Board humbly for my recent betterment.
00:09:58,Natalie,"The Board says, “You're welcome.”"
00:10:03,Natalie,The Board is jubilant at your ascendance.
00:10:06,Natalie,It wants you to feel appreciated and asks if you do.
00:10:11,Milchick,I do.
00:10:17,Natalie,The Board austerely desires for you to feel connected to Lumon's history.
00:10:23,Natalie,"To that end,"
00:10:26,Natalie,please accept from the Board these inclusively recanonicalized paintings
00:10:32,Natalie,"intended to help you see yourself in Kier, our founder."
00:11:07,Milchick,"Oh, my."
00:11:08,Natalie,You'll find the whole Kier cycle.
00:11:31,Natalie,"The Board wishes to express that I, Natalie,"
00:11:33,Natalie,received the same gift upon receipt of my current position
00:11:37,Natalie,and found it extremely moving.
00:11:41,Milchick,I'm grateful.
00:11:42,Natalie,Yes.
00:11:43,Milchick,It's meaningful to see myself reflected in…
00:11:58,Natalie,The Board has concluded the call.
00:12:16,Natalie,"Congratulations, Seth."
00:13:52,Helly,Is that it?
00:13:54,Mark,Think so.
00:14:31,Helly,"Oh, you're gonna–"
00:14:36,Helly,You sure?
00:14:41,Helly,Okay.
00:14:47,Helly,"All right. Okay, we're doing this."
00:14:54,Helly,Can you see anything?
00:14:56,Mark,"No. Careful, there's poop."
00:14:59,Helly,Okay.
00:15:04,Helly,Okay.
00:15:28,Mark,"Oh, my God."
00:15:30,Helly,What the hell?
00:16:08,Lorne,Are you here to kill me?
