timestamp,speaker,text
00:00:35,Irving,Hello!
00:00:41,Irving,Hello!
00:00:49,Mark,Irving!
00:00:52,Mark,It's me. I'm up here!
00:00:52,Irving,Mark!
00:00:55,Mark,Yeah!
00:00:57,Mark,Hey!
00:01:01,Irving,What's happening? Where are we?
00:01:04,Mark,"I have no fucking idea, but there's a path up the cliff right down there!"
00:01:12,Irving,Do you want me to come up?
00:01:15,Mark,"Well, yeah!"
00:01:19,Irving,I'm on the ice. I'm on the fucking ice!
00:01:24,Mark,Maybe get off of it. Come on!
00:01:33,Irving,I'm coming! I'm-I'm coming!
00:01:45,Mark,Be careful! It's very steep!
00:02:25,Helly,Irving.
00:02:27,Irving,Helly!
00:02:30,Irving,Where did you come from?
00:02:32,Helly,I don't know.
00:02:33,Helly,What are we doing out here?
00:02:35,Mark,Up here!
00:02:38,Mark,Follow my voice!
00:02:43,Helly,Mark!
00:02:48,Irving,Mark!
00:02:50,Mark,Up here!
00:02:55,Irving,Mark.
00:02:56,Mark,Hey!
00:02:58,Mark,Are you okay?
00:03:00,Irving,Did you wake up on the ice too?
00:03:00,Mark,Yeah. What about you?
00:03:01,Helly,On the cliff.
00:03:05,Irving,"Oh, my God."
00:03:09,Dylan,Is it you?
00:03:09,Helly,Of course it's us.
00:03:11,Dylan,"Holy shit! Out-fucking-side. Oh, my God. I mean, I knew there was no actual ceiling, but this is fucking insane."
00:03:22,Helly,Hello? Hello?
00:03:35,Mark,What is that?
00:04:30,Milchick,"Good morning, Refiners."
00:04:33,Milchick,"This is Mr. Milchick from work, and I'm thrilled to welcome you to your first ever outdoor retreat and team-building occurrence."
00:04:44,Milchick,"This ORTBO is in response to your desire to see the outside world. With your outies' blessings, you will spend the next two calendar days walking the meadows, thickets, brambles and brooks that make up the Dieter Eagan National Forest."
00:05:03,Dylan,Who the fuck is Dieter Eagan?
00:05:07,Milchick,"Dieter Eagan? Some of you may be quietly yearning to learn more. The truth you seek lies within the fourth appendix. Kier dictated a fourth appendix in his final hours of life, a text of such sanctity that it is forbidden upon the severed floor. It's waiting for you in Scissor Cave, the very same grotto where Kier Eagan tamed the four tempers for the very first time."
00:05:39,Milchick,"And do remember, “Stray not from Kier's path, lest you roil nature's wrath.” There will be help along the way. Happy fortunes, MDR."
00:06:04,Irving,Scissor Cave.
00:06:17,Dylan,What the fuck is that?
00:06:28,Helly,He looks like Mark.
00:06:42,Mark,Milchick said there'd be help along the way.
00:06:46,Irving,I wouldn't trust a word out of that mountebank's mouth. Not even televisually.
00:07:05,Mark,"Not like we have a lot of other options right now, Irv."
00:09:48,Helly,Wait.
00:10:33,Helly,“Chapter one.”
00:10:36,Helly,"“I was not born into this world alone. The lodgings of my mother's womb I shared with another, a twin brother who was called Dieter.”"
00:10:47,Irving,Kier had a twin?
00:10:50,Dylan,That's what those things are.
00:10:53,Mark,Yeah.
00:10:55,Helly,"“In infancy, he was my bosom friend. But as we blossomed into boyhood, he beseeched me to take to the wood with him to live as paupers. My love for my twin unbalancing my judgment, I acceded, and we ventured into the wood towards…”"
00:11:14,Helly and Dylan,“Woe's Hollow.”
00:11:23,Irving,"So, we're to walk in the brothers' footsteps."
00:11:33,Irving,“He always crept like this at this hour.”
00:11:37,Irving,"“Once concealed by flora, my brother…”"
00:11:41,Kier,“…unfastened himself.”
00:11:43,Kier,“The din of his fervor fell strangely into concert with the music of the wood.”
00:11:51,Kier,“His every thrust found rhythm with the trill of the crickets…”
00:11:57,Kier and Irving,“…and the moaning of the wind…”
00:12:00,Kier and Irving,“…and the snowfall's yearly thaw.”
00:12:04,Kier,"“Dieter became, on that night an instrument of nature…”"
00:12:09,Kier and Irving,“and nature played Dieter with elegance.”
00:12:12,Irving,“I had no choice but to listen as he spilt his lineage upon the soil.”
00:12:43,Dylan,Now there's a me one.
00:13:28,Mark,You okay?
00:13:31,Helly,Yeah. I just wish I knew where we were going.
00:13:59,Dylan,Fuck.
00:14:24,Irving,What were you and Helly talking about back there?
00:14:37,Mark,When?
00:14:39,Irving,I don't trust her. I think she might be lying about what her outie saw.
00:14:46,Mark,Why would you think that?
00:14:48,Irving,Night gardeners.
00:14:52,Irving,It's clear you do not have an objective perspective due to your feelings for her.
00:14:56,Mark,"My feelings for her have nothing to do with anything, okay–"
00:15:20,Dylan,What the fuck?
00:15:25,Irving,What is it?
00:15:27,Mark,I don't know. Looks like a seal?
00:15:37,Helly,Why does it look so messed up?
