season,episode,timestamp,speaker,text,before_colon
1,2,00:25:30,Alexa,"you could have a girlfriend at Lumon…
Mark: Thank you.",Mark
1,2,00:26:26,Alexa,"No, I just meant that there’s…
Mark: I live in Baird Creek.",Mark
1,2,00:26:38,Mark,"Nice. The WMC’s out and about.
Alexa: Who?",Alexa
1,2,00:28:41,Cobel,"Why, thank you!
Mark: Yeah.",Mark
1,2,00:33:07,Irving,"Where’s Mark?
Dylan: Missed you too.",Dylan
1,2,00:34:54,Helly,"But why don’t we always finish the files?
Dylan: ’Cause they only keep so long.",Dylan
1,2,00:46:22,Irving,"Points?
Ms. Casey: Please don’t speak.",Casey
1,2,00:47:11,Irving,"I was just…
Ms. Casey: Please don’t speak further,",Casey
1,2,00:47:57,Helly,"Is it just the elevators?
Dylan: What?",Dylan
1,2,00:48:14,Irving,"Hi, kids. What’s for dinner?
Dylan: Nope!",Dylan
1,2,00:48:30,Dylan,"I don’t need to tell you…
Irving: That’s a myth.",Irving
1,2,00:48:45,Irving,"Don’t do it.
Helly: Hey, guys?",Helly
1,3,00:01:22,Mark,"Cobel?
Petey: I can’t imagine Dylan’s 4% on Sunset Park’s gonna help with—",Petey
1,3,00:05:20,Petey,"Reintegration.
Mark: All right. Well, whatever.",Mark
1,3,00:08:05,Natalie,"about her experience.
Steven: How could she have that conversation when her workie was the one involved—
Natalie: Okay, first of all, workie?",Steven
1,3,00:08:31,Natalie,"I’m answering your questions.
Steven: …because it’ll reveal that you are",Steven
1,3,00:08:33,Steven,"complicit in something totally immoral.
Natalie: What’s immoral is—",Natalie
1,3,00:10:06,Petey,"I’m sorry, Mark.
Mark: No, no, no. No.",Mark
1,3,00:11:06,Mark,"Hey.
Cobel: Mark, I’m sorry for the racket!",Cobel
1,3,00:11:55,Judd,"Mr. Scout, how are you doing?
Mark: Hey, Judd.",Mark
1,3,00:12:42,Helly,"Yesterday. You were gone.
Mark: I was?",Mark
1,3,00:13:06,Mark,"You did submit it?
Helly: I did.",Helly
1,3,00:15:30,Devon,"He’s at work, baby. It doesn’t matter.
Ricken: How do you know?",Ricken
1,3,00:15:32,Devon,"Because his car’s not here.
Ricken: Maybe he played hooky.",Ricken
1,3,00:15:58,Ricken,"Do you think he’ll be surprised?
Devon: I do.",Devon
1,3,00:16:14,Ricken,"Perfect.
Devon: Good.",Devon
1,3,00:16:15,Ricken,"I mean, it’s perfect.
Devon: Yes.",Devon
1,3,00:16:25,Devon,"Yeah.
Ricken: I hope he comes home early.",Ricken
1,3,00:21:12,Mark,"Are you okay?
Helly: I’m fine.",Helly
1,3,00:21:27,Helly,"I’m fine, Mark.
Mark: I think I need to come in.",Mark
1,3,00:21:30,Mark,"That’s— Okay?
Helly: No!",Helly
1,3,00:21:39,Mark,"Okay, here I come. I’m sorry.
Helly: Mark, no! I’m not decent!",Helly
1,3,00:21:41,Helly,"Do— Jesus.
Mark: I’m sorry. I’m—",Mark
1,3,00:22:44,Irving,"Mark.
Mark: Irv.",Mark
1,3,00:22:47,Mark,"Okay.
Irving: I am troubled by you having high-stress exchanges like that so fresh off your food poisoning.",Irving
1,3,00:23:49,Cobel,"Oh, God.
Milchick: Is this the brother-in-law?",Milchick
1,3,00:24:07,Milchick,"Can I help you?
Mark: Does she have a moment?",Mark
1,3,00:24:14,Mark,"No, I—
Cobel: It’s fine. Come in.",Cobel
1,3,00:24:46,Mark,"No, I—
Cobel: Mark.",Cobel
1,3,00:25:22,Cobel,"Get MDR to its numbers.
Mark: Okay.",Mark
1,3,00:26:31,Irving,"No, I don’t think so.
Dylan: Best delt, 30 bucks.",Dylan
1,3,00:26:46,Irving,"The center of a good physique.
Dylan: You are alone on this one, Irv…",Dylan
1,3,00:26:49,Irving,"You’ve never noticed my lats?
Dylan: …I assure you. Never once.",Dylan
1,3,00:28:34,Irving,"but I think you’ll find…
Helly: “Eagan Bingo”?",Helly
1,3,00:28:38,Mark,"We shouldn’t, right? This—
Irving: …for when we arrive…",Irving
1,3,00:29:28,Mark,"Dylan.
Dylan: What? I just. I just. I think you guys are cool,",Dylan
1,3,00:29:43,Felicia,"And what are you guys doing?
Burt: Felicia.",Burt
1,3,00:29:48,Irving,"This is—
Burt: Welcome, Helly.",Burt
1,3,00:32:15,Cobel,"And for what it’s worth, I’d like—
Natalie: The Board has concluded the call.",Natalie
1,3,00:32:26,Cobel,"And may I ask—
Natalie: Goodbye, Harmony.",Natalie
1,3,00:32:54,Dylan,"Probably 30.
Mark: Around five.",Mark
1,3,00:33:20,Mark,"Oh, yeah?
Helly: Yeah.",Helly
1,3,00:38:24,Mark,"A noble one.
Irving: And that’s so much more mea—",Irving
1,3,00:38:34,Dylan,"Are you guys ready to go?
Irving: We just got here.",Irving
1,3,00:39:00,Helly,"Jesus.
Irving: No. Kier.",Irving
1,3,00:40:03,Irving,"Mark.
Mark: Yeah?",Mark
1,3,00:44:49,Helly,"You can’t keep—
Milchick: Not right now, Helly.",Milchick
1,4,00:06:35,Irving,"Mark?
Mark: Yep?",Mark
1,4,00:06:41,Mark,"Okay?
Irving: I wonder if, as department chief,",Irving
1,4,00:06:46,Mark,"Well…
Dylan: Mark doesn’t have that power.",Dylan
1,4,00:06:48,Irving,"Well, he can ask.
Dylan: He’s not going to.",Dylan
1,4,00:06:49,Irving,"He might.
Mark: Okay…",Mark
1,4,00:07:02,Burt,"Hi, Irving.
Irving: Hi, Burt. What are you doing here?",Irving
1,4,00:07:07,Dylan,"where this office is?
Mark: Dylan!",Mark
1,4,00:07:12,Burt,"and she’d left directions.
Dylan: Give us them reversed.",Dylan
1,4,00:11:54,Burt,"No.
Irving: I did.",Irving
1,4,00:13:41,Helly,"I got to 4%.
Mark: Yes!",Mark
1,4,00:13:46,Helly,"I guess.
Mark: Awesome. I’m glad you agree.",Mark
1,4,00:15:31,Dylan,"Put what away?
Helly: It’s a map of the hallways.",Helly
1,4,00:18:05,Irving,"What do you mean?
Mark: It doesn’t matter.",Mark
1,4,00:18:25,Mark,"My ego’s fine. I’m just trying to…
Dylan: Damn.",Dylan
1,4,00:19:32,Milchick,"I am so sorry, Ms. Cobel. I will…
Cobel: What is happening here?",Cobel
1,4,00:23:54,Devon,"Call you tomorrow?
Mark: Okay, bye.",Mark
1,4,00:26:54,Cobel,"What are you doing here?
Mark: Wh…",Mark
1,4,00:27:32,Cobel,"Service is starting soon.
Mark: Yeah.",Mark
1,4,00:29:36,Mark,"I just figured I knew him, and…
June: Hey, Mom.",June
1,4,00:30:57,Petey,We’re gonna rock to it.June:Gonna play some rock and roll.,June
1,4,00:33:55,Mark,"Yeah.
Cobel: I think I have this cystitis under…",Cobel
1,4,00:33:59,Cobel,"Okay, well, let me come with you.
Mark: No, that’s not necessary.",Mark
1,4,00:34:02,Cobel,"No, I’ve paid my respects. Let’s go.
Eulogist: Let us pray.",Eulogist
1,4,00:38:30,Burt,"Irving.
Irving: Felicia said you’d be here.",Irving
1,4,00:39:47,Burt,"Who cares?
Irving: The handbook cares.",Irving
1,5,00:02:06,Graner,"Mark, get in the elevator.
Mark: Helly? Helly!",Mark
1,5,00:02:35,Mark,"Judd.
Judd: Mr. Scout, you have a good evening.",Judd
1,5,00:09:45,Mark,"Slightly.
Alexa: Mmm.",Alexa
1,5,00:09:59,Alexa,"She’s doing great, by the way.
Mark: Yeah?",Mark
1,5,00:10:01,Alexa,"Yeah.
Mark: Okay.",Mark
1,5,00:11:09,Mark,"Wow.
Devon: Dude, did you see the one next door?",Devon
1,5,00:11:11,Mark,"Yeah.
Ricken: It’s, like, psychotically expensive.",Ricken
1,5,00:11:24,Devon,"Fuck.
Ricken: Mark, say a secret quickly.",Ricken
1,5,00:11:29,Mark,"What?
Ricken: The fetus is drawn to clear air.",Ricken
1,5,00:11:37,Ricken,"Oh, we do.
Devon: Hey, baby, not right now.",Devon
1,5,00:11:47,Ricken,"There. Good.
Mark: The book?",Mark
1,5,00:12:08,Mark,"Are you okay?
Ricken: Oh, my God.",Ricken
1,5,00:12:10,Devon,"I’m okay.
Ricken: Whew!",Ricken
