,timestamp,speaker,text,talking_to
0,00:00:15,Helly,"“All I can be is sorry, and that is all I am.”",Milchick
1,00:00:51,Milchick,But I’m afraid you still don’t mean it.,Helly
2,00:01:25,Milchick,We’ll try again in the morning.,Helly
3,00:02:06,Milchick,"See you tomorrow, Helly.",Helly
4,00:02:22,Helly,Fuck me.,Milchick
5,00:02:28,Helly,I read it 300 times yesterday.,Milchick
6,00:02:32,Milchick,"259. Again, please. Now.",Helly
7,00:02:40,Helly,What the hell is that voice?,Milchick
8,00:02:59,Helly,“Forgive me for the harm I have caused this world. None may atone for my actions but me. And only in me shall their stain live on.”,Milchick
9,00:03:30,Helly,"I really am sorry, okay?",Milchick
10,00:03:35,Helly,I’m sorry.,Milchick
11,00:03:38,Milchick,No paraphrasing. Again.,Helly
12,00:06:35,Irving,"Mark?
Mark: Yep?",Mark
13,00:06:36,Irving,"It’s past 1100, and Helly’s been in the break room since yesterday.",Mark
14,00:06:41,Mark,"Okay?
Irving: I wonder if, as department chief,",Irving
15,00:06:43,Irving,you feel you should check on her progress?,Mark
16,00:06:46,Mark,"Well…
Dylan: Mark doesn’t have that power.",Irving
17,00:06:48,Irving,"Well, he can ask.
Dylan: He’s not going to.",Mark
18,00:06:49,Irving,"He might.
Mark: Okay…",Mark
19,00:06:50,Burt,Hi. I’m so sorry to interrupt. We met the other day. I’m Burt from Optics and Design.,Dylan
20,00:07:02,Burt,"Hi, Irving.
Irving: Hi, Burt. What are you doing here?",Dylan
21,00:07:05,Dylan,Exactly how the wet fuck do you know,Burt
22,00:07:07,Dylan,"where this office is?
Mark: Dylan!",Burt
23,00:07:08,Burt,"My predecessor, Alice K., came here once when they still did the summits,",Dylan
24,00:07:12,Burt,"and she’d left directions.
Dylan: Give us them reversed.",Dylan
25,00:07:15,Burt,Okay. It’s all right.,Dylan
26,00:07:16,Mark,"What can we do for you, Burt?",Burt
27,00:07:17,Burt,"Thank you. Well…Irving, I kept thinking about what you said about being excited for the new handbook totes, and maybe you were kidding and teasing.",Mark
28,00:07:27,Irving,"No, not at all.",Burt
29,00:07:29,Burt,"Okay, good. I’ve been fretting, though, because you mentioned the anticipation could distract from your work, which was the opposite of my intent. So I figured, heck, let’s bring them over now. That way, it won’t be on your mind.",Irving
30,00:07:43,Irving,You brought pre-release handbook totes for us?,Burt
31,00:07:48,Burt,It seemed like the right thing. I know your time is valuable.,Irving
32,00:07:51,Dylan,"Okay, well, you can drop ’em on the desk. Long hike back to O&D.",Burt
33,00:07:55,Burt,Right.,Dylan
34,00:07:56,Burt,"I also wanted to extend an invitation. Again, I know you…you work hard, so… If an informal tour of O&D ever sounds refreshing, I’d be happy to personally offer that to Irving and any one of you.",Dylan
35,00:08:11,Burt,"Directions are in the front bag, reversed.",Dylan
36,00:08:14,Dylan,Hard pass.,Burt
37,00:08:18,Burt,Okay.,Dylan
38,00:08:21,Irving,"Thank you, Burt.",Burt
39,00:08:23,Burt,Thank you.,Irving
40,00:08:32,Mark,Just seems soon to be taking him up on his offer.,Irving
41,00:08:35,Irving,It’s absurd we’ve never visited them before now. Kier’s whole original vision saw us all working together.,Mark
42,00:08:43,Dylan,That was before O&D started disemboweling people’s bowels.,Irving
43,00:08:46,Irving,Nonsense. I’ll be back by 1:00.,Dylan
44,00:08:50,Dylan,He’s gonna die.,Irving
45,00:08:54,Mark,Irv…,Helly
46,00:09:04,Mark,How many times?,Helly
47,00:09:08,Helly,"1,072.",Mark
48,00:09:40,Helly,What about the voice behind the door?,Mark
49,00:09:42,Dylan,"Crying baby, you mean?",Helly
50,00:09:45,Helly,"No. Like, the angry, mumbly guy.",Dylan
51,00:09:47,Mark,"Guys? We’re really not supposed to talk about the break room. You know, the important thing is, you apologized correctly, and now you’re out.",Dylan
52,00:09:57,Dylan,"What you gotta do is trick the machine by thinking about something you’re really sorry about, so I like to imagine my Outie’s love-made with a MILF or two, which is obviously badass, but I do pity the husbands.",Mark
53,00:10:29,Mark,Hey. Break room sucks. But that’s why we have protocols and procedures so we don’t end up there.,Dylan
54,00:10:39,Mark,You’ll learn. I promise.,Dylan
55,00:10:54,Irving,Hello?,Felicia
56,00:10:56,Felicia,Who’s that?,Irving
57,00:10:58,Irving,Hi. It’s Irving B. From Macrodata Refinement. We met in the hall the other day.,Felicia
58,00:11:09,Felicia,Burt’s over there by shelf six. Don’t touch anything.,Irving
59,00:11:16,Burt,"The big envelopes can handle an appendix reissue. But, of course, we ship all the hallway pieces in-frame.",Irving
60,00:11:28,Irving,So much to remember.,Burt
61,00:11:31,Burt,Felicia and I make do. I’m sure it’s easier than whatever you MDR kids get up to all day.,Irving
62,00:11:39,Irving,"I can only imagine what it’s like when the new art comes in. I mean, you see it before anyone.",Burt
63,00:11:46,Irving,"It’s so dumb, but I actually cried when you guys put up The Youthful Convalescence of Kier.",Burt
64,00:11:54,Burt,"No.
Irving: I did.",Irving
65,00:11:55,Irving,"I never thought I’d see the handbook passage depicted visually. It was only up for a month or so, but, man. What a month!",Burt
66,00:12:11,Burt,Come here.,Irving
67,00:12:14,Burt,"Once the hall art’s been cycled through all the departments, it ends up back here.",Irving
68,00:12:21,Irving,Wow!,Burt
69,00:12:26,Irving,Where did Felicia go?,Burt
70,00:12:27,Burt,Supply run.,Irving
71,00:12:32,Irving,Voilà.,Burt
72,00:12:39,Burt,"“Let not weakness live in your veins. Cherished workers, drown it inside you.”",Irving
73,00:12:45,Irving,"“Rise up from your deathbed and sally forth, more perfect for the struggle.”",Burt
74,00:12:54,Burt,Exactly.,Irving
75,00:12:56,Irving,I…I can’t believe you…you have this.,Burt
76,00:13:17,Irving,I’m sorry. What time is it? I have to go.,Burt
77,00:13:38,Mark,"Hey, Helly.",Helly
78,00:13:41,Helly,"I got to 4%.
Mark: Yes!",Mark
79,00:13:43,Mark,"Feels good, right?",Helly
80,00:13:46,Helly,"I guess.
Mark: Awesome. I’m glad you agree.",Mark
81,00:13:52,Mark,Great work.,Helly
82,00:15:26,Helly,What’s this?,Mark
83,00:15:27,Helly,Will you put that away?,Mark
84,00:15:31,Dylan,"Put what away?
Helly: It’s a map of the hallways.",Mark
85,00:15:33,Mark,"No, it isn’t.",Dylan
86,00:15:34,Dylan,I thought we weren’t supposed to make maps.,Mark
87,00:15:37,Mark,We’re not. I didn’t. It’s just something I found. I think Petey made it.,Dylan
88,00:15:41,Dylan,"Oh, shit. You didn’t turn it in?",Mark
89,00:15:44,Helly,"You’re such a hypocrite, lecturing me on following the rules.",Mark
90,00:15:47,Mark,I wasn’t lecturing you. I’m just trying to keep you out of the break room.,Helly
91,00:15:50,Dylan,I can’t believe Petey was a mapper. Let me see it.,Helly
92,00:15:53,Dylan,"He’s got Wellness, Management, Perpetuity… Everywhere we know of. This must’ve taken him weeks.",Helly
93,00:16:00,Helly,Why aren’t we supposed to map the office?,Dylan
94,00:16:02,Mark,It’s an Eagan rule. “Render not my creation in miniature.”,Helly
95,00:16:05,Helly,Why?,Mark
96,00:16:07,Dylan,What the fuck is this?,Helly
97,00:16:09,Helly,"They look like houses, right? That’s how houses look.",Dylan
98,00:16:11,Mark,"Yeah, exactly, because these are random, bored doodles.",Helly
99,00:16:15,Helly,"Well, maybe they’re on the outside and Petey found a way to get to them.",Mark
100,00:16:17,Mark,So why would they be on a map of the severed floor?,Helly
101,00:16:20,Helly,It could be a thing. You don’t know.,Mark
102,00:16:22,Mark,It’s not a thing.,Helly
103,00:16:23,Helly,Clearly he was trying to tell you something.,Mark
104,00:16:25,Mark,No.,Helly
105,00:16:26,Helly,"Go lick a boot, Mark.",Mark
106,00:16:30,Helly,You’re more loyal to this place than to your friend.,Mark
107,00:16:32,Mark,I’m loyal to how it felt around here before you showed up.,Helly
108,00:16:36,Helly,You mean when Petey was here?,Mark
109,00:16:38,Mark,"Yeah, because there was balance. We could have fun and work without the whole goddamn department imploding.",Helly
110,00:16:44,Helly,The work is bullshit.,Mark
111,00:16:46,Mark,"The work is mysterious and important. And we deal with the uncertainty it brings us in the way that Kier would’ve wanted. Together, as a family.",Helly
112,00:17:00,Helly,"I could not, with a razor to my throat, be less interested in being your family.",Mark
113,00:17:13,Helly,"Your best friend left this for you, and you don’t give a shit.",Mark
114,00:17:34,Mark,You’re right. I don’t give a shit.,Helly
115,00:17:36,Helly,Mark…,Mark
116,00:17:41,Mark,"There. It’s gone. Thank you, Helly. Now we can get back to work.",Helly
117,00:17:50,Irving,Mark! It’s an emergency.,Mark
118,00:17:58,Mark,Okay. All right…,Irving
119,00:17:59,Irving,"I was going to get Mr. Milchick, but I thought it best not to break the chain of command.",Mark
120,00:18:03,Dylan,It’s just raining contraband today.,Irving
121,00:18:05,Irving,"What do you mean?
Mark: It doesn’t matter.",Dylan
122,00:18:07,Mark,Has anyone seen anything like this before?,Irving
123,00:18:10,Irving,"Passage 31, page 110. “Be content in my words, and dally not in the scholastic pursuits of lesser men.”",Mark
124,00:18:18,Mark,No books except the handbook. I know.,Irving
125,00:18:22,Irving,What are you doing?,Mark
126,00:18:23,Dylan,His ego’s pissed ’cause Helly called him out for boot-licking.,Mark
127,00:18:25,Mark,"My ego’s fine. I’m just trying to…
Dylan: Damn.",Dylan
128,00:18:30,Irving,"Mark, what is this?",Dylan
129,00:18:31,Dylan,Maybe it’s another Petey message. Flip through. See if my name’s anywhere.,Irving
130,00:18:35,Irving,I bet it’s a loyalty test. Remember the spicy candy?,Dylan
131,00:18:39,Mark,I’ll be turning this in to Milchick.,Dylan
132,00:18:41,Dylan,What? Why? It’s booty. It’s booty with your name on it.,Mark
133,00:18:44,Irving,"Excellent decision, Mark. This is an idolatrous text that should be brought to him immediately.",Dylan
134,00:19:15,Dylan,"So, what’s their space like? Stalactites and shit?",Irving
135,00:19:17,Irving,"No, it’s nice. Burt’s fostered a really welcoming environment. He understands the spirit of Lumon.",Dylan
136,00:19:25,Mark,Helly?,Milchick
137,00:19:28,Milchick,Excuse me! Helly!,Mark
138,00:19:29,Cobel,"Jesus, Helly!",Helly
139,00:19:30,Helly,I want a camera!,Cobel
140,00:19:32,Milchick,"I am so sorry, Ms. Cobel. I will…
Cobel: What is happening here?",Helly
141,00:19:35,Helly,"What’s happening is, you’re going to give me a video camera so I can tape a resignation to my Outie right fucking now, or you’re going to have to explain to her why she’s missing four fingers.",Milchick
142,00:19:46,Cobel,Okay. Let’s just…,Helly
143,00:19:50,Helly,"It’s Cobel, right?",Cobel
144,00:19:52,Cobel,Yes.,Helly
145,00:19:54,Helly,"Cobel, do I look like I’m fucking around right now?",Cobel
146,00:19:58,Cobel,"No. No, you do not.",Helly
147,00:20:01,Mark,Helly!,Cobel
148,00:20:04,Cobel,"Hi, Mark. I’m just catching up with your trainee.",Mark
149,00:20:11,Cobel,"Mr. Milchick, could you get the video camera, please?",Mark
150,00:20:42,Helly,Hey.,Mark
151,00:21:16,Helly,"Well, boss. I guess this is the part where I should tell you to go to hell. Except you’re already here.",Mark
152,00:21:33,Helly,I was never sorry.,Mark
153,00:21:56,Helly,"Helly, I watched your video asking that I resign. I also received and responded to your previous request. I assumed that would resolve the issue, but now Ms. Cobel says you threatened to cut off your fingers? I understand that you’re unhappy with the life that you’ve been given.",Mark
154,00:22:24,Helly,"But you know what? Eventually, we all have to accept reality. So, here it is.",Mark
155,00:22:33,Helly,I am a person. You are not. I make the decisions. You do not.,Mark
156,00:22:45,Helly,"And if you ever do anything to my fingers, know that I will keep you alive long enough to horribly regret that. Your resignation request is denied. Turn it off.",Mark
157,00:23:17,Mark,"“Welcome your child into a world surrounded by nature.” No, thanks.",Helly
158,00:23:25,Mark,“Scroll down to explore our rustic birthing cabins.”,Helly
159,00:23:31,Mark,I don’t know. It just…,Helly
160,00:23:33,Mark,"It looks more like a shitty ski resort than a birthing center to me, but…",Helly
161,00:23:39,Devon,"Okay, sure, fine.",Mark
162,00:23:40,Devon,But it’s gonna be awesome. And you’re gonna like it.,Mark
163,00:23:42,Mark,"How much of this was Ricken’s idea, 300% or 400%?",Devon
164,00:23:46,Devon,Just… Get all of your snark out now or you’re never gonna earn your uncle badge.,Mark
165,00:23:50,Mark,You know what? I think I might have some more snark in me. I’m kinda tired.,Devon
166,00:23:54,Devon,"Call you tomorrow?
Mark: Okay, bye.",Mark
167,00:24:56,Graner,Have you heard from the Board yet?,Cobel
168,00:25:01,Cobel,No.,Graner
169,00:25:03,Graner,"Kilmer wasn’t your fault, and it certainly wasn’t mine. They’ll understand.",Cobel
170,00:25:12,Graner,"It wasn’t your fault, Harmony.",Cobel
171,00:25:17,Cobel,"If you want a hug, go to hell and find your mother.",Graner
172,00:25:20,Graner,Jesus.,Cobel
173,00:25:21,Cobel,Since Petey reintegrated…,Graner
174,00:25:23,Graner,The Board’s never acknowledged reintegration.,Cobel
175,00:25:25,Cobel,We have to get his chip.,Graner
176,00:25:30,Graner,His corpse is scheduled to be destroyed by cremation following his funeral on Sunday.FYI.,Cobel
177,00:25:55,Cobel,Vision. Verve. Wit. Cheer. Humility. Benevolence. Nimbleness. Probity. Wiles.,Graner
178,00:26:18,Cobel,Wiles.,Graner
179,00:26:51,Cobel,Mark.,Graner
180,00:26:53,Mark,Mrs. Selvig?,Cobel
181,00:26:54,Cobel,"What are you doing here?
Mark: Wh…",Mark
182,00:26:57,Mark,"I’m… You know, the news report said that he worked at Lumon, so I thought maybe I knew him. What are you doing here?",Cobel
183,00:27:06,Cobel,He used to come by my shop. He adored my hibiscus wrap.,Mark
184,00:27:10,Mark,"Oh, my God. Wow, it’s a small world.",Cobel
185,00:27:14,Cobel,"Poor, poor man.",Mark
186,00:27:17,Cobel,"Well, on the upside, at least now we both have a date.",Mark
187,00:27:23,Cobel,"There he is. If you’d like to go in and pay your respects, I’ll wait right here for you.",Mark
188,00:27:27,Mark,"I think I might swing by the bathroom, but I’ll see you in a sec.",Cobel
189,00:27:32,Cobel,"Service is starting soon.
Mark: Yeah.",Mark
190,00:27:46,Mark,Whiskey. Rocks.,Cobel
191,00:27:48,Bartender,"It’s just wine, sir.",Mark
192,00:27:50,Mark,"Right. Red, please.",Bartender
193,00:28:26,Cobel,Hello. Were you a friend?,June
194,00:28:31,June,He was my dad.,Cobel
195,00:28:33,Cobel,I’m so deeply sorry.,June
196,00:28:41,Cobel,I suppose you were close and everything.,June
197,00:28:56,Nina,"White, please.",Mark
198,00:29:04,Nina,"I’m sorry, I don’t know you. I’m Nina.",Mark
199,00:29:07,Mark,Mark Scout.,Nina
200,00:29:10,Nina,I’m Peter’s ex-wife.,Mark
201,00:29:13,Mark,"Oh, yeah, sure. Sorry.",Nina
202,00:29:20,Nina,You’re from Lumon. So you didn’t even know him at all.,Mark
203,00:29:36,Mark,"I just figured I knew him, and…
June: Hey, Mom.",Nina
204,00:29:38,June,They wanna start.,Nina
205,00:29:40,Nina,"Okay, baby.",June
206,00:29:42,Mark,Hi. You’re… Are you June?,June
207,00:29:46,June,Yeah.,Mark
208,00:29:48,Mark,It’s nice to meet you.,June
209,00:30:17,June,So you knew my dad?,Mark
210,00:30:21,Mark,Yeah. At work.,June
211,00:30:29,June,You’re one of those.,Mark
212,00:30:31,June,Do you ever think that maybe the best way to deal with a fucked-up situation in your life isn’t to just shut your brain off half the time?,Mark
213,00:30:41,Mark,I’m not exactly sure.,June
214,00:30:46,Mark,I’m sorry.,June
215,00:30:48,Petey,We’re gonna perform something for you.,June (singing)
216,00:30:52,Petey,"I’m glad you’re here, babe.",June (singing)
217,00:30:54,Petey,We’re gonna play a… We’re gon… We’re gonna melt your face off.,June (singing)
218,00:30:57,Petey,We’re gonna rock to it.June:Gonna play some rock and roll.,June (singing)
219,00:30:59,Petey,Rock show time!,June (singing)
220,00:31:07,June (singing),"Say your prayers, little one.Don’t forget, my son.To include everyone.Tuck you in, warm within.Keep you free from sin.Till the sandman, he comes.Sleep with one eye open.Gripping your pillow tight.Exit light. Enter night.Grain of sand.We’re off to never-never land.Something’s wrong, shut the light.Heavy thoughts tonight And they aren’t of Snow White.Dreams of war, dreams of liars.Dreams of dragon’s fire.And of things that will bite.Sleep with one eye open.Gripping your pillow tight.Exit light. Enter night.Take my hand.We’re off to never-never land.",Petey
221,00:32:30,Petey,I pray the Lord my soul to keep,June (singing)
222,00:32:32,June,I pray the Lord my soul to keep.,Petey
223,00:32:34,Petey,And if I die before I wake.,June
224,00:32:36,June,And if I die before I wake.,Petey
225,00:32:38,Petey,I pray the Lord my soul to take,June
226,00:32:40,June,I pray the Lord my soul to take.,Petey
227,00:32:42,Petey (singing),"Hush, little baby, don’t say a word.And never mind that noise you heard.It’s just the monster under your bed.",June (singing)
228,00:32:54,Petey (singing),"In your closet, in your head.June (singing):In your head.",June (singing)
229,00:32:58,June (singing),Exit light. Enter night.Grain of sand.We’re off to never-never land.,Petey (singing)
230,00:33:22,Petey,No!,June
231,00:33:25,Petey,No!,June
232,00:33:29,Petey,What… What if you went so fast that smoke started coming out?,June
233,00:33:32,June,Out of your ears.,Petey
234,00:33:53,Cobel,"Mark, sweetheart, are you all right? I’m so sorry.",Mark
235,00:33:55,Mark,"Yeah.
Cobel: I think I have this cystitis under…",Cobel
236,00:33:57,Mark,This was a mistake. I have to go.,Cobel
237,00:33:59,Cobel,"Okay, well, let me come with you.
Mark: No, that’s not necessary.",Mark
238,00:34:02,Cobel,"No, I’ve paid my respects. Let’s go.
Eulogist: Let us pray.",Mark
239,00:34:04,Eulogist,"Our Father, who art in heaven…",Cobel
240,00:34:07,Cobel,"So, was the funeral just too sad, or…",Eulogist
241,00:34:12,Mark,"Something like that, yeah.",Cobel
242,00:34:14,Cobel,If you ever wanna talk…,Mark
243,00:34:16,Mark,"Oh, no. Thank you. I just… I’m fine. But thank you for, you know, being my funeral buddy today.",Cobel
244,00:34:26,Cobel,Good night.,Mark
245,00:34:28,Mark,Good night.,Cobel
246,00:37:27,Milchick,That’s Petey?,Cobel
247,00:37:30,Cobel,That’s Petey.,Milchick
248,00:37:34,Milchick,How did you…,Cobel
249,00:37:35,Cobel,Would you mind taking that up to diagnostics for me?,Milchick
