,timestamp,speaker,text,talking_to
0,00:00:44,Irving,"All right, Radar. Okay, come on. Let’s go.",Mark
1,00:05:25,Mark,"Going good?
Helly: Yep.",Irving
2,00:05:26,Mark,Yeah?,Irving
3,00:05:29,Mark,"Think you’ll have it by…
Helly: I’ll get there.",Irving
4,00:05:54,Dylan,"She’s not gonna make it, is she?
Mark: You should be at your desks.",Irving
5,00:05:57,Dylan,We’ve both been done a week. What is there to do?,Irving
6,00:05:59,Dylan,"Is she gonna make it?
Mark: She’s gonna make it.",Irving
7,00:06:01,Irving,Mark.,Dylan
8,00:06:02,Mark,Yes?,Irving
9,00:06:03,Irving,"Don’t laugh.
Mark: At?",Mark
10,00:06:06,Irving,I just wonder if it might be helpful for us to stand behind her and perhaps chant her name.,Mark
11,00:06:15,Mark,Okay. She’ll make it. Just let her focus.,Irving
12,00:06:28,Cobel,How’s she doing?,Milchick
13,00:06:30,Milchick,Gonna be down to the wire.,Cobel
14,00:06:38,Cobel,She’ll make it.,Milchick
15,00:06:40,Cobel,Let’s prep for when she makes it.,Milchick
16,00:06:48,Cobel,Oh. And I want to schedule a end-of-the quarter wellness session for Mark…one last time.,Milchick
17,00:06:57,Milchick,Really?,Cobel
18,00:07:04,Cobel,"Seth. I know that this has been a trying quarter, and you have availed yourself well. Mr. Graner sits with Kier now, and I imagine they’re both very satisfied with you.",Milchick
19,00:07:52,Helly,Hey.,Mark
20,00:07:55,Mark,Did you…,Helly
21,00:07:57,Helly,I think I did.,Mark
22,00:08:13,Dylan,"She do it?
Mark: She did it!",Irving
23,00:08:17,Dylan,Fuck and yes.,Irving
24,00:08:19,Irving,"Oh, my goodness.",Dylan
25,00:08:41,Kier Eagan,"I knew you could do it, Helly R. Even in your darkest moments, I could see you arriving here. In refining your macrodata file, you have brought glory to this company and to me. Kier Eagan. I… I love you. But now I must away, for there are others who need me around the world. Goodbye, Helly R., and thank you.",Dylan
26,00:09:26,Dylan,Boom! That’s quota. We did it.,Kier Eagan
27,00:09:30,Mark,Good work.,Irving
28,00:09:36,Irving,So it’s on now?,Mark
29,00:09:53,Cobel,"Oh, Mark. I don’t know how you knew for the end of the quarter I wanted a heart attack.",Mark
30,00:10:02,Mark,"Well, we made it, despite a staffing shake-up.",Cobel
31,00:10:05,Cobel,"Yes, and spending half of your time farting around the halls. Still, yes. You made it. Have you decided who you want to stay for the Waffle Party?",Mark
32,00:10:16,Mark,I was thinking Dylan.,Cobel
33,00:10:21,Cobel,You know you can choose yourself or anyone but Dylan.,Mark
34,00:10:25,Mark,"Yeah, but it’s more his thing, and he really worked hard.",Cobel
35,00:10:37,Cobel,"Well, I’ll make the arrangements.",Mark
36,00:10:39,Mark,"Great.
Cobel: But before you celebrate, I’d like you to drop by Wellness.",Cobel
37,00:10:43,Mark,Really?,Cobel
38,00:10:44,Cobel,"Yes. I’m having all department heads do it end-of-quarter. With all this stress, and Mr. Graner retiring and everything.",Mark
