,timestamp,speaker,text,talking_to
0,00:00:02,Helly,"I acknowledge that, henceforth, my access to my memories will be spatially dictated. I will be unable to access outside recollections whilst on Lumon’s severed basement floor, nor retain work memories upon my ascent. I am aware that this alteration is comprehensive and irreversible. I make these statements freely.",Milchick
1,00:00:30,Milchick,"Okay, that’s a wrap. Come with me, please.",Helly
2,00:00:44,Milchick,"So, your work personage will be waking in a few hours on the severed floor. But the next time you yourself will be sentient will be this evening, in the elevator back up.",Helly
3,00:00:53,Helly,Okay.,Milchick
4,00:00:54,Milchick,The elevator has a handrail at hip-level if you feel dizzy.,Helly
5,00:00:58,Milchick,"Oh, man. I love seeing the sunrise on his face.",Helly
6,00:01:06,Milchick,You know he used to drink three raw eggs in milk each morning?,Helly
7,00:01:09,Helly,I’ve heard.,Milchick
8,00:01:10,Milchick,His favorite breakfast.,Helly
9,00:01:12,Milchick,We’ll get you prepped in here.,Helly
10,00:01:15,Milchick,"Good morning, Lawrence.
Lawrence: Good morning.",Helly
11,00:01:43,Helly,They say it doesn’t hurt.,Milchick
12,00:01:50,Milchick,Just relax.,Helly
13,00:02:07,Milchick,Little vibration now.,Helly
14,00:02:47,Milchick,I’ll be upstairs after to let you know how it went.,Helly
15,00:02:51,Helly,Sorry if I freak out on you a little.,Milchick
16,00:02:55,Milchick,Don’t worry. I’m very excited to meet you.,Helly
17,00:03:40,Milchick,"Hey, Helly.",Helly
18,00:03:42,Helly,"Woah, what’s happening?",Milchick
19,00:03:44,Milchick,Great to see you.,Helly
20,00:03:46,Milchick,Your orientation’s been so much fun.,Helly
21,00:03:51,Helly,"Uh, where am I?",Milchick
22,00:03:52,Milchick,"Okay, so sometimes when a new hire is adjusting to a severed space, we help by bringing them here to the stairwell, to experience the transition viscerally.",Helly
23,00:04:01,Helly,"Oh, no. I’m trying to leave?",Milchick
24,00:04:03,Milchick,"No, no. It’s all part of the process. If you wanna spin around and head back in, that should be that.",Helly
25,00:04:13,Milchick,"Hey, there.",Helly
26,00:04:17,Helly,"What the hell?
Milchick: That’s okay. Not a problem. Wanna give it another shot? Maybe with a little oomph?",Milchick
27,00:04:31,Milchick,"Hi. I’m at the stairwell. It’s going fair. No, she’s…",Helly
28,00:04:39,Helly,Fuck!,Milchick
29,00:04:41,Milchick,I’ma call you back.,Helly
30,00:04:45,Milchick,Wow. You’re an inquisitive one.,Helly
31,00:04:51,Helly,"I don’t wanna be in there, do I?",Milchick
32,00:04:52,Milchick,"You’re learning that you do. Hey, when we heard you were coming here, it was like a miracle. It’s amazing what you’re doing.",Helly
33,00:05:24,Milchick,"Hey, old-timer! One day down.",Helly
34,00:08:42,Helly,Hey.,Milchick
35,00:08:44,Mark,Hey.,Helly
36,00:08:45,Helly,So it’s tomorrow now?,Mark
37,00:08:47,Mark,"Uh, yeah. Well, it’s Monday.",Helly
38,00:08:51,Helly,"A weekend just happened?
Mark: Yeah.",Mark
39,00:08:53,Helly,I don’t even feel like I left.,Mark
40,00:08:54,Mark,"Yeah, that’s how nights and weekends feel here.",Helly
41,00:08:58,Helly,Like nothing?,Mark
42,00:08:59,Mark,"Well, you get used to it. I mean, I find it helps to focus on the effects of sleep since we don’t actually get to experience it. You may feel rejuvenated or happy. Less tense in the shoulders. Spry.",Helly
43,00:09:14,Helly,So it’s 09:05?,Mark
44,00:09:16,Mark,"Yeah, they stagger the entries too so we don’t meet on the outside. It’s important apparently.",Helly
45,00:09:23,Helly,So I guess we’re not friends.,Mark
46,00:09:26,Mark,Guess not.,Helly
47,00:09:32,Dylan,My current file’s called “Tumwater”… which I started some 11 weeks back. “Tumwater.” All one word.,Helly
48,00:09:37,Helly,Should I be taking notes?,Dylan
49,00:09:39,Mark,"No.
Dylan: I’ve got it 96% sorted, which means I’ve earned four of the five tier incentives, including the erasers and the finger traps that you see displayed here. 100% is tier five. That gets you a caricature portrait. You’ll note I’ve accrued an embarrassment of wealth in that regard.",Helly
50,00:09:57,Helly,"Wow.
Dylan: Correct.",Mark
51,00:09:58,Dylan,Each one of these? Finished file in the can.,Helly
52,00:10:01,Helly,So that’s the highest award?,Dylan
53,00:10:03,Dylan,"Percentage-wise, yes. But if we hit our numbers by quarter’s end, one of us gets named refiner of the quarter, and that shit gets you a waffle party.",Helly
54,00:10:11,Helly,"I’m sorry, a waffle party?",Dylan
55,00:10:12,Dylan,"Okay, hazards on, eager lemur. I’m a dead lock for that this quarter, so don’t get your hopes up.",Helly
56,00:10:20,Helly,What about Mark’s crystal head cube?,Dylan
57,00:10:22,Dylan,"That’s not a prize, that’s just something they gave him.",Helly
58,00:10:25,Mark,"Helly, could you flip on this console?",Irving
59,00:10:44,Mark,Okay.,Irving
60,00:10:48,Mark,That’s… Excuse me.,Irving
61,00:10:56,Irving,"Mark, sorry to interrupt. I know you’re training Helly. I just noticed you’ve removed the group photos from the desks.",Mark
62,00:11:02,Mark,Yeah. We’re gonna take the new ones at Helly’s party today.,Irving
63,00:11:07,Irving,Hmm.,Mark
64,00:11:08,Mark,"Okay, this is the Siena file. Now, all the data you see falls into one of four essential categories. And we group each line of code, and then sort it evenly between five digital buckets.",Irving
65,00:11:24,Helly,Party.,Mark
66,00:11:25,Mark,Just poke around first. Use the arrows.,Helly
67,00:11:27,Irving,I do think the old photos are supposed to stay on the desk until the new ones come in.,Mark
68,00:11:39,Mark,Right.,Irving
69,00:11:41,Helly,"Should this mean something to me?
Mark: No.",Mark
70,00:11:43,Mark,"No, all the data comes from upstairs fully encoded.",Helly
71,00:11:47,Helly,Then how do I categorize it?,Mark
72,00:11:51,Helly,What?,Mark
73,00:11:53,Mark,"Each category of numbers presents in such an order as to elicit an emotional response in the refiner. So, Cat 1 numbers, for example, feel a certain way on sight. They’ll be sort of disconcerting, scary.",Helly
74,00:12:10,Helly,Scary?,Mark
75,00:12:11,Mark,I know.,Helly
76,00:12:13,Helly,My job is to scroll through this spreadsheet and look for numbers that are scary?,Mark
77,00:12:16,Dylan,"It sounds dumb, and Mark said it dumb.",Helly
78,00:12:19,Helly,Are the numbers bloody? Do they chant?,Dylan
79,00:12:22,Mark,"It doesn’t make sense till you see it, and it takes a while to see.",Irving
80,00:12:24,Irving,"Hey, Mark. I just printed out the passage of the handbook on changing out group photos. Just might be good to peruse when you’re between things.",Mark
81,00:12:32,Mark,"Thank you.
Irving: Sorry.",Irving
82,00:12:37,Helly,Am I trapped here?,Mark
83,00:12:41,Mark,In what way?,Helly
84,00:12:42,Helly,"Like if it turns out I hate this and I want to quit, is that an option?",Mark
85,00:12:50,Mark,"Look. If you’re really unhappy, you can submit a resignation request with your outside self for review.",Helly
86,00:12:58,Dylan,And good luck getting that approved.,Mark
