timestamp,speaker,text
00:01:31,Devon,Do you remember the last thing that you said to me?
00:01:38,Innie Mark,“She's alive.”
00:01:42,Cobel,Have you finished Cold Harbor?
00:01:48,Innie Mark,What is this place?
00:01:50,Devon,"Uh, it's a cabin for giving birth."
00:01:55,Innie Mark,Why am I here? Why are you here?
00:01:57,Cobel,Cold Harbor. Have you finished it?
00:02:05,Innie Mark,No.
00:02:08,Cobel,Then she's still alive. We can save her.
00:02:16,Innie Mark,Who?
00:02:19,Cobel,Ms. Casey.
00:02:21,Devon,Gemma.
00:02:25,Cobel,There's a hallway down there. It's different than the others. It's long and black and hidden.
00:02:34,Innie Mark,From Irving's drawings.
00:02:37,Cobel,What?
00:02:40,Innie Mark,With an elevator going down. We know where it is.
00:02:55,Jame,What a funny speech you gave at the party. I was cross with you after. I threw a tin of candies.
00:03:19,Helly,"God, you're fucking weird."
00:03:47,Jame,"I do not love my daughter. I used to see Kier in her, but he left her as she grew."
00:04:04,Helly,You sound like a great dad.
00:04:07,Jame,I sired others in the shadows. But he wasn't in them either. Until I saw him again. In you.
00:04:29,Helly,"You and your family created hell, and you're going to burn in it."
00:04:41,Jame,There he is. Tomorrow is a special day.
00:04:51,Helly,Hey! Why did you come here? What do you want from me?
00:05:03,Innie Mark,"So… wait, when I finish Cold Harbor, they do a test, and then th-they kill her?"
00:05:10,Cobel,"Once that file is done, you'll need to quickly get to the black hallway, then down to the testing floor. They'll not let you leave MDR till that file is complete."
00:05:23,Innie Mark,"Okay, but how do I find her once I'm down there?"
00:05:25,Devon,"Oh. No, you won't."
00:05:26,Innie Mark,I won't?
00:05:26,Devon,No.
00:05:28,Cobel,"Your chip is only attuned to your floor. Once you get down to testing, you'll be your outie again."
00:05:36,Devon,And then he'll find Gemma and take her up to the severed floor.
00:05:39,Cobel,Where you will guide her to the exit stairwell.
00:05:46,Mark,Right. Okay.
00:05:50,Devon,"Mark… I know this is a fucking lot, man. But if we can prove that she is alive, if we can prove that they fucking kidnapped her, it will end them."
00:06:14,Innie Mark,"Well, what happens to us?"
00:06:18,Devon,What do you mean?
00:06:22,Innie Mark,"Well, if L-Lumon ends, then what happens to every innie on the severed floor?"
00:06:33,Devon,Yeah. Um…
00:06:43,Innie Mark,Oh.
00:06:46,Innie Mark,You want me to give my life?
00:06:46,Devon,No.
00:06:48,Innie Mark,The lives of everyone down there?
00:06:50,Devon,"No, it's not that simple."
00:06:54,Innie Mark,Just to save one person you happen to care about?
00:06:58,Cobel,It doesn't have to end your life.
00:07:04,Innie Mark,Really?
00:07:07,Devon,"Right. Um… There's somebody else who wants to talk to you, actually. Um… Okay, just hit the play."
00:07:43,Cobel,"Watch it. Record your response, then step outside."
00:07:53,Devon,"We'll just be downstairs, okay?"
00:07:55,Innie Mark,Okay.
00:08:19,Outie Mark,"Hey… uh, I'm… Well, I guess you know who I am. Uh… I think you've spoken with Devon and Mrs. Sel… Uh, Ms. Cobel. So y… you know what it is that we're asking. But the first thing I need to say to you is that I am so sorry. You know, I created you as a-a prisoner and as an escape. Lumon told me you'd be happy, that innies are content, and because I took their word for it, you've been living a nightmare for two years. It's horrific what they've done to you. And part of the reason I'm here is to make it right. And I hope, uh, now with all we have in common, that you'll give me that chance."
00:10:46,Innie Mark,"Uh, hi. Wow, this is, uh… I never expected to actually speak to you."
00:10:54,Outie Mark,Holy shit.
00:10:55,Innie Mark,"Um, let alone get an apology, so, uh… Thank you. Um, you know, “nightmare” is the wrong word, actually. 'Cause w-we find ways to make it work, to… to feel whole, which is why what you're asking scares me. You know, because… whatever this life is… it's all we have, and we don't want it to end. Can you understand that?"
00:12:06,Outie Mark,"Of course I can. It's such a good point. I'd say the same thing in-in your position, however, Lumon doesn't have to be your whole life. Now, you may have been seeing flashes lately. Images from my world out here. I've been seeing yours too. It's a process called “reintegration.” It's a way to recouple memories so we can be one person. I started this because I see now how unfair this all is to you, and once my wife is free, I swear I will finish the process. 'Cause this life, our life… belongs to both of us. And I wanna share it with you."
00:13:10,Innie Mark,"Uh, okay. But… what would that mean exactly? That y-y-you get the right side, and I get the-the left? Or… Is it like a top-bottom situation? I'm honestly trying to understand."
00:13:22,Outie Mark,"No, no, it wouldn't be like a top-bottom situation. It's, like, both of us. Like, one person combined. Like, my memories and yours, and my trauma and yours, but, like, you know, the good stuff too."
00:13:40,Innie Mark,"Okay, but… I mean, you've been alive for, what, 20 times longer, so whoever this new hybrid person is, it seems like he'd be way more you than me."
00:13:59,Outie Mark,I just don't think that's how it works.
00:14:03,Innie Mark,Okay. How does it work?
00:14:28,Outie Mark,"Look… I mourned Gemma for two years. I lost my job, my teaching job… because I fucking started showing up drunk. You know, I hid all of her stuff in my basement… 'cause it was easier pretending that she never existed. And I thought I was protecting you from that pain. Oh, hey, uh, Ms. Cobel told me you-you like someone down there? Helena Eagan, right? I think her innie name's “Heleny”? Honestly, I love that you had that experience. So, now… you could imagine, like, what you and Heleny have but multiply, like, thousands of days of, like, joy, and arguments, and passion, then you can see why I have to get my wife back. I have to have her back."
00:16:25,Innie Mark,"It's Helly, actually. Helly. It's the person I'm in love with, which you'd know if you'd ever taken an interest in my life. Before tonight, when you need something. She's the person I'll lose if I do what you say 'cause you know as well as I do that her outie won't, like, reintegrate, assuming that's even real. Assuming every word outta your mouth isn't a lie."
00:16:58,Outie Mark,Wha…
00:17:02,Outie Mark,"Whoa. I'm sorry. I didn't mean to… Dude, I'm just trying to save my wife, okay? I mean, I can't abandon her, and if you help me, I won't abandon you. I promise."
00:17:17,Innie Mark,"You know what I think? I think the second you get your wife back, you forget I ever existed. I think that I disappear along with every innie down there."
00:17:27,Outie Mark,What do you want from me? We are in this together. Can't you just trust me?
00:17:38,Innie Mark,No.
00:17:41,Outie Mark,Devon! He's a fucking child. He won't listen.
00:17:46,Cobel,Let me speak to him.
00:17:47,Outie Mark,"I mentioned reintegration, he basically called bullshit."
00:17:50,Devon,"Well, he's not wrong, right?"
00:17:52,Cobel,Let me speak to him. Alone.
00:17:58,Devon,Okay. Yeah.
00:18:08,Mark,Okay.
00:18:23,Cobel,"The numbers are your wife. The MDR numbers. From your console. They're a doorway into the mind of your outie's wife, Gemma Scout."
00:18:56,Innie Mark,I don't understand.
00:19:02,Cobel,What do you see every day when you look at them?
00:19:13,Innie Mark,What… we feel things.
00:19:21,Cobel,What do you feel?
00:19:25,Innie Mark,"Mmm, different things. Sometimes sadness…"
00:19:29,Cobel,Woe. Frolic. Malice. Dread.
00:19:44,Innie Mark,So you're saying… the… the clusters are…
00:19:49,Cobel,Her tempers. The building blocks of her mind.
00:19:59,Innie Mark,What am I building?
00:20:05,Cobel,Every file you've completed… is a new consciousness for her. A new innie.
00:20:27,Innie Mark,I've completed 24 files.
00:20:31,Cobel,"Cold Harbor is the last. Tomorrow will be your final day at Lumon. You will have served your purpose, and so will she."
00:20:58,Innie Mark,"Wait, why are you telling me this? What are you doing here, really?"
00:21:10,Cobel,Mark. Mark. Oh… There'll be no honeymoon ending for you and Helly R. She's an Eagan. You're nothing to them.
00:21:32,Innie Mark,No.
00:21:32,Cobel,Nothing to her.
00:21:34,Innie Mark,"No, I don't believe you."
00:21:36,Cobel,They're using you.
00:21:37,Innie Mark,No! I don't believe you!
00:21:39,Cobel,Then they'll discard you like a skin husk.
00:21:41,Innie Mark,I think you're using me!
00:21:41,Devon,Mark! Wait.
00:21:44,Cobel,Reintegration is your only chance!
00:21:46,Innie Mark,Do you love your brother?
00:21:46,Cobel,Mark!
00:21:49,Devon,Yes.
00:21:50,Innie Mark,"Well, then you tell him that the next thing I see had better be the severed floor, or I swear he will never see his wife again."
00:21:57,Cobel,I care for you.
00:21:59,Innie Mark,Stop!
00:22:00,Devon,Mark.
00:23:11,Innie Mark,I have to tell you something.
00:23:13,Helly,Me too.
00:24:08,Helly,Fuck me.
00:24:59,Innie Mark,"“Mark, The Founder wished to witness the historic completion of your 25th file. Helly R. shall also bear witness from her chair. Goodly splendors await upon your victory. Love, Mr. Milchick.”"
