timestamp,speaker,text
00:04:23,Magnus,You hear about that clusterfuck up on North Pine?
00:04:26,Hampton,Dutch Stevens' kid.
00:04:28,Magnus,How the fuck do you flip a two-ton snow plow?
00:04:31,Hampton,With stupidity. The apple don't fall far from the gutter.
00:04:36,Magnus,"Well, that's kind of you."
00:04:38,Hampton,On the house.
00:04:40,Magnus,Thank you.
00:04:44,Hampton,"Hey, Rose. You want a refill?"
00:04:50,Rose,You can top me off anytime.
00:04:54,Hampton,I like the new do. Très chic.
00:06:04,Harmony,"Harmony Cobel. Well, flip my toboggan."
00:06:19,Hampton,You want coffee?
00:06:22,Harmony,No.
00:06:26,Hampton,Tables are for paying customers.
00:06:30,Harmony,Fine. Then buy me a coffee.
00:06:41,Harmony,The town is older than I remember. Frailer.
00:06:55,Hampton,"Yeah, well, with the market readjustment from a few years ago and the fluctuating interest rates, there was a retrenchment from some of the core infrastructure investments."
00:07:14,Harmony,I need a favor. But not here. Meet me at the factory.
00:07:43,Hampton,"Hey, Dot. Close up for me."
00:07:43,Dot,Sure.
00:09:57,Hampton,You know how fucked it is to ask me to come here?
00:10:03,Harmony,I need you to drive me to Sissy's.
00:10:13,Hampton,"No, thanks."
00:10:18,Harmony,"If they're watching the house, they'll recognize my car."
00:10:25,Hampton,How much trouble are you in?
00:10:31,Harmony,Enough.
00:10:41,Hampton,You know she still lives by the nine?
00:10:47,Harmony,I assumed.
00:10:49,Hampton,Then you know she's a fucking pariah here.
00:10:53,Harmony,You can stay in the truck. I need to get something.
00:11:04,Hampton,Why would I help you with anything?
00:11:13,Harmony,We were once chums. Old colleagues lift each other up.
00:11:23,Hampton,Colleagues? Child fucking labor.
00:11:37,Harmony,"Kier and Imogene met at the Ether Mill, you know that?"
00:11:47,Hampton,Was she hacking up a lung at the time?
00:11:51,Harmony,I can smell it on your breath. Pathetic.
00:11:54,Hampton,Fuck you.
00:11:56,Harmony,You can help me or not. But I'll not be the punching dummy for your resentments.
00:13:45,Hampton,Coast is clear.
00:13:56,Harmony,You're higher than a bearded vulture.
00:14:05,Hampton,Tell her to drop dead for me.
00:14:18,Sissy,You are not welcome here. This is trespass. I have a mind to call the authorities. I do not want that huff peddler on my property.
00:14:35,Harmony,You gave him his thirst for it.
00:14:38,Sissy,You've a liar's mouth. Do you want to come down here and tell me what this is all about?
00:15:14,Harmony,What have you done with my things?
00:15:18,Sissy,Sold. To the poor.
00:15:21,Harmony,They weren't yours to sell.
00:15:24,Sissy,I sit in this house. You do not.
00:15:29,Harmony,Has anyone been here?
00:15:32,Sissy,No one comes here.
00:15:36,Harmony,Or telephoned?
00:15:43,Sissy,A Mr. Drummond.
00:15:47,Harmony,And what did he want?
00:15:54,Sissy,"What have you done, little mouse?"
00:16:01,Sissy,Harmony!
00:16:03,Harmony,I want the key to Mother's room.
00:16:05,Sissy,That room stays shut until all who remember her sit with Kier. You know this.
00:16:11,Harmony,Give me the key.
00:16:14,Sissy,Why do you bring nothing but woe into my life?
00:16:18,Harmony,"No, it is you who cursed this house with woe."
00:16:22,Sissy,I will not have this quarrel.
00:16:28,Harmony,What were her last words?
00:16:31,Sissy,"Child, do not test me."
00:16:35,Harmony,What were they? She said nothing after you pulled the tube from her gullet.
00:17:01,Sissy,There was gratitude in her eyes to be freed from her suffering. If only she had been a believer. Perhaps she would have found solace in the nine.
