timestamp,speaker,text
00:00:10,Mark S,Devon!
00:00:12,Helly,"No, no, no. Listen, we're not happy. We're miserable."
00:00:16,Irving,Burt!
00:00:18,Helly,They torture us down there!
00:00:19,Mark S,Devon!
00:00:21,Helly,We're prisoners!
00:00:21,Irving,Burt!
00:00:22,Mark S,She's alive!
00:03:39,Mark W,I suppose you're Mark S.
00:03:42,Mark S,I–
00:03:42,Mark W,I'm Mark W.
00:03:51,Dario R,Perché sta in piedi modo strano?
00:03:48,Mark S,Who are you people?
00:03:53,Mark W,Would you be open to using a different first name to avoid confusion?
00:03:58,Milchick,"Welcome back, Mark S. Been a minute."
00:04:14,Mark S,Where are they?
00:04:15,Milchick,I think it's best to save any queries till we arrive at the management office.
00:04:19,Mark S,Were they fired?
00:04:21,Milchick,"You can leave the balloons in the foyer by my old desk. We've much to discuss, and I don't want them distracting you. I assure you, they won't be taken."
00:04:29,Mark S,"Mr. Milchick, please."
00:04:30,Milchick,What you all did five months ago was one of the most painful moments in the history of this company.
00:04:34,Mark S,Five months?
00:04:35,Milchick,"I, too, was wounded by it. But we must be cut to heal, mustn't we?"
00:04:42,Mark S,"Wait, did you say your old office?"
00:04:44,Milchick,"Mark, this is Miss Huang. Miss Huang, Mark S."
00:04:47,Miss Huang,Hello.
00:04:49,Milchick,"She'll be happy to mind your balloons while we chat. Right this way, Mark. You can shut it."
00:05:04,Mark S,Is it normal for a child to–
00:05:06,Milchick,Excuse the clutter.
00:05:14,Mark S,Okay. What's happening?
00:05:17,Milchick,Ms. Cobel is no longer with this company. I now manage the severed floor.
00:05:23,Mark S,What about my team?
00:05:26,Milchick,"We didn't fire them. Helly R. and Irving B. both successfully made contact with persons on the outside, just as you did. Dylan G.'s outie learned what happened after the fact. The four of you have achieved international fame. As a group, you've become known as the face of severance reform."
00:05:47,Mark S,Severance ref–
00:05:47,Milchick,"Have a seat, Mark. Shortly before your mutiny, we installed security doors to keep you in MDR. This accompanied a punitive rendition of the Kier hymn performed by Ms. Cobel. Do you recall?"
00:06:03,Mark S,I do.
00:06:10,Milchick,"I locked you in a room like an animal, Mark. As an unsevered man, I'll carry that knowledge the rest of my life. But for the past five months, we've been asking how a sadist like Harmony Cobel could take fertile root in Lumon soil. And what that says about us. We also know Ms. Cobel was at your sister's home when you awoke there."
00:06:36,Mark S,Yeah. Why was that?
00:06:40,Milchick,We believe she'd developed an erotic fixation on you and had plans to pursue both you and your outie in what might be termed “a throuple.”
00:06:50,Mark S,What?
00:06:51,Milchick,"Thankfully, she failed at this."
00:06:56,Mark S,You still haven't told me where my team is.
00:07:02,Milchick,"We tried for weeks to get them back, Mark. None of them agreed. We told them of the reforms, but it wasn't enough."
00:07:15,Mark S,Except for me?
00:07:20,Milchick,"Your outie insisted on returning. In fact, he begged us to let him back right away."
00:07:28,Mark S,"So the others, they refused?"
00:07:33,Milchick,Yes.
00:07:37,Mark S,"Well, I'd like to hear it from them."
00:07:46,Milchick,That's not possible. Enjoy your balloons.
00:08:19,Mark W,"Yeah. We showed up about an hour before you did. It's a little cramped compared to our old MDR, but I love the green carpet. Ours was a crème brûlée and the keyboards were puce."
00:08:30,Gwendolyn Y,They were purple.
00:08:31,Mark W,"No. They were puce. I know because it makes me nauseous, and I hate sweets. Speaking of which, how much do we see of that Mr. “Milkshake”?"
00:08:38,Mark S,Milchick.
00:08:40,Mark W,What?
00:08:42,Mark S,"It's Milchick, not milkshake. And I don't know."
00:08:46,Dario R,"Marco, where I can find some ink pencils?"
