timestamp,speaker,text
00:00:07,Mark,"There was this gray hall, but then…everything was, like, so white."
00:00:21,Reghabi,We're making progress. It's not just waking up on a table. It's human interaction.
00:00:28,Mark,"This didn't feel human, this felt like a nightmare."
00:00:31,Mark,"I mean, why is she rattling off a bunch of facts? What are they doing to her?"
00:00:38,Reghabi,All I know is she's essential.
00:00:44,Mark,She didn't even recognize me.
00:00:50,Reghabi,The Gemma you know is still in there.
00:00:55,Reghabi,"And when you get her out, it will be the two of you out here together."
00:01:12,Mark,Bargaining. You know what that is?
00:01:16,Reghabi,What do you mean?
00:01:20,Mark,"Well, it's one of the stages."
00:01:24,Mark,"You think about all the things you'd do, and all the ways you'd change to get that person back. You'd drink less. You'd listen more. It's dumb, but you do it anyway."
00:01:49,Reghabi,It's normal.
00:01:51,Mark,"Yeah. But for me, it might actually happen."
00:02:05,Dylan,"It was a sketch of a black hallway,"
00:02:07,Dylan,with a black elevator that only goes down.
00:02:14,Mark,So there's a floor beneath us.
00:02:16,Helly,That must be where they're keeping her.
00:02:17,Dylan,There were directions on the back.
00:02:20,Helly,"Well, let's see it."
00:02:23,Dylan,"I left it there, behind the poster."
00:02:26,Mark,Why didn't you just take it?
00:02:28,Dylan,"I just didn't, okay? I don't wanna get in trouble right now."
00:02:31,Helly,"Okay. Well, I don't give a shit about that, so I'll go get it."
00:02:33,Helly,You said it's behind the poster of you actually being brave?
00:02:35,Dylan,"Okay, yeah. Fuck you. You don't know everything."
00:02:37,Mark,Then tell us.
00:02:40,Helly,It's okay.
00:02:51,Helly,"Okay. Well, I still have a hall pass, so I can go to the break room now, and then we can start after lunch."
00:02:54,Mark,Yeah. Maybe.
00:02:56,Helly,Maybe?
00:02:57,Helly,Did everyone sever their balls in the elevator this morning?
00:02:59,Mark,I'm starving.
00:03:25,Helly,Mark? Are you okay?
00:05:03,Miss Huang,Sir?
00:05:06,Milchick,Have a seat.
00:05:15,Milchick,I had my performance review yesterday.
00:05:20,Miss Huang,How did it go?
00:05:30,Milchick,"Many valid concerns were raised, which I look forward to addressing."
00:05:35,Miss Huang,I'm glad for you.
00:05:46,Milchick,"I feel I should remind you, you cannot graduate from this fellowship until I have deemed you Wintertide material. This will mean using your time well, focusing on your own duties, and eradicating from your essence childish folly."
00:06:11,Miss Huang,"I understand, sir."
00:06:15,Milchick,I shall be busy for the rest of the day. I trust you can steward the floor in my stead?
00:06:22,Miss Huang,Of course.
00:06:22,Milchick,Good. You may sit at your regular desk.
00:06:32,Miss Huang,"Thank you, Mr. Milchick."
00:06:49,Helly,He threatened you?
00:06:49,Mark,As I was leaving.
00:06:51,Mark,In the elevator.
00:06:52,Helly,They're trying to intimidate us. Divide us.
00:06:53,Mark,And also–
00:06:55,Helly,"It's so that we won't work together, because they know what will happen if we do. I'm gonna go get that map."
00:06:59,Mark,"Helly, we shared vessels."
00:07:03,Helly,What's that?
00:07:06,Mark,"Well, we…we had sex."
00:07:16,Helly,"Okay. You and… Like, in a Wellness session?"
00:07:26,Mark,No. Not… Ms. Casey. It was at the retreat. In your tent. Yeah.
00:07:48,Helly,You mean…
00:07:53,Mark,"I mean, obviously, you know, I thought it was you. 'Cause, you know, I've been having those feelings since, like, before the OTC. So when she… I just… I had no idea, okay?"
00:08:11,Helly,Uh-huh.
00:08:11,Mark,"I'm sorry, Helly. I… She tricked me. I mean, I… you know, wanted to, but she…she tricked both of us."
00:08:25,Helly,It's probably another tactic. Something to drive a wedge between us. Like–
00:08:31,Mark,Helly–
00:08:32,Helly,I'm gonna go for a walk.
00:08:37,Mark,"Helly, I'm sorry. I thought it was you."
00:08:41,Helly,"But it wasn't me. Yeah, I'm just gonna go walk around."
00:10:03,Dylan,"First date, let me guess. Scuba."
00:10:06,Gretchen,Thai food.
00:10:08,Dylan,Nice.
00:10:09,Gretchen,Though you did take scuba lessons last year.
00:10:12,Dylan,Yeah? Which sea?
00:10:14,Gretchen,It was in a pool.
00:10:15,Dylan,Okay. Cool.
00:10:18,Gretchen,"It was a little expensive. You've had a lot of phases. Scuba diving, woodworking."
00:10:28,Dylan,"Wow. So, my outie's really diverse."
00:10:30,Gretchen,Garage beer-making.
00:10:34,Dylan,"Maybe I'm trying to find something I excel in up there, like I do down here."
00:10:44,Gretchen,I sometimes wonder if you're just not happy.
00:10:48,Dylan,"I'm sure it's not that. 'Cause, like, you know… I mean, here, with you, I'm super happy. I just, like, wanna hear about all my offspring and stare at your face."
00:11:08,Dylan,Sorry. That was weird.
00:11:08,Gretchen,No. It was really sweet. I like it. I like this.
00:11:21,Dylan,"I wish we could really be together. Like, all the time."
00:11:28,Gretchen,"I mean, we are. Aren't we?"
00:11:35,Dylan,You and him are. But I'm not.
00:11:53,Dylan,Is it okay if we try the hug again? I kind of like the hugging.
00:13:53,Mark,"Oh, hey. I was coming to find you."
00:13:55,Helly,Same.
00:13:58,Mark,"Look, I am so sorry. I can't even imagine what it must be like to–"
00:14:04,Helly,You thought it was me.
00:14:07,Mark,Hundred percent.
00:14:08,Helly,Which means you wanted to. With me.
00:14:13,Mark,Yeah.
00:14:16,Helly,"What sucks is that she got to have that, and I didn't. That she used me to trick my friends. Used my body to get close to you. That she dresses me in the morning like I'm a baby. That she controls me, and this company, and all of us. It's disgusting."
00:14:49,Mark,"Hey, do you want me to, like, describe what happened? Like, I feel like you have every right to know."
00:14:56,Helly,No. I don't want her memory.
00:14:59,Mark,Okay.
00:15:03,Helly,I want my own. Would you like that?
00:15:18,Mark,"Yeah, I'd like that. But how?"
00:16:18,Helly,Ta-da. A tent.
00:16:48,Helly,I'm nervous.
00:16:51,Mark,Me too.
00:16:54,Helly,You too.
00:16:54,Mark,It's okay.
00:16:55,Helly,Okay.
00:17:43,Mark,Wait.
00:18:00,Mark,Yes?
00:18:03,Helly,Yes.
00:19:30,Milchick,You must eradicate from your essence childish folly.
00:19:39,Milchick,You must eradicate from yourself childish folly.
00:19:57,Milchick,You must abandon childish things.
00:20:03,Milchick,You must grow up.
00:20:07,Milchick,You must grow up. Grow up.
00:20:13,Milchick,Grow up.
00:20:16,Milchick,Grow up.
00:20:20,Milchick,Grow.
00:20:22,Milchick,Grow. Grow. Grow. Grow.
00:20:56,Helly,Was it different with me?
00:21:10,Mark,"Oh, no, you're bleeding."
00:21:15,Helly,"No, you are."
00:21:23,Miss Huang,You have two minutes left. Humidity on the severed floor is maintained at a consistent 45%. It must be something else. Did you punch him?
00:21:39,Helly,"I mean, not today."
00:21:40,Miss Huang,What were you doing when the nosebleed occurred?
00:21:44,Helly,We were refining something.
00:21:50,Miss Huang,Do you have a deviated septum?
00:21:52,Mark,"Well, I don't know what that is."
00:21:55,Miss Huang,Would you like me to put petroleum jelly in your nostrils?
00:21:58,Mark,"No, thanks."
00:22:00,Miss Huang,Any other symptoms? Any auras or hallucinations?
00:22:07,Mark,No. I think it stopped. I feel better.
00:22:12,Miss Huang,I'm going to take your blood pressure.
00:22:21,Reghabi,Where are you?
00:22:23,Mark,I'm at Lumon.
00:22:29,Mark,What?
00:22:29,Miss Huang,What?
00:22:35,Mark,Fuck. I was just–
00:22:35,Miss Huang,Mark?
00:22:40,Mark,Wha–
00:22:42,Reghabi,Were you just at Lumon?
00:22:43,Mark,What time is it?
00:22:45,Reghabi,Are you at Lumon or in your basement with me?
00:22:47,Mark,I don't know.
00:22:50,Reghabi,Do you remember a hallway? A black hallway?
00:22:52,Mark,I remember… Okay. I remember a desk. I remember a desk. I remember… Shit.
00:23:12,Reghabi,That was another crossover memory. A recent one. That's good. You'll feel gaps in time until it all comes back together.
00:23:20,Mark,"Well, when the fuck is that gonna happen?"
00:23:25,Reghabi,We need to enhance. Speed up the process.
00:23:29,Mark,Is that safe?
00:23:31,Reghabi,There's a slight chance of hemorrhage.
00:23:34,Mark,"Okay. So, me bleeding to death."
00:23:39,Reghabi,Not necessarily. We'll flood the chip itself.
00:23:44,Mark,Flood the chip?
00:23:46,Reghabi,Through the hole in your head.
00:23:46,Mark,Jesus Christ.
00:23:49,Reghabi,That you've already got.
00:23:49,Mark,"Okay–You know what? Get the fuck off me. I am not doing this, okay?"
00:23:54,Reghabi,We're close. It's happening.
00:23:56,Mark,Get this shit off right now! Please.
00:23:56,Mark,We need to push!
00:23:58,Mark,Get it off–God. I'm fu… I'm starving.
00:24:02,Reghabi,That's also from reintegration.
00:24:04,Mark,"Okay, you know what? I'm gonna go eat."
00:24:13,Reghabi,Fuck.
00:24:53,Irving,Hello.
00:24:56,Burt,Who the hell are you?
00:25:00,Burt,It's a joke. Come on in. Hey.
00:25:03,Irving,Okay. What the heck?
00:25:10,Burt,Fields is tending the ham. I hope you like a cumin glaze.
00:25:16,Irving,"Yes, of course."
